obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
"486.1297761"	"0.0000024"	"486.1297761"	"0.0000024"	""	"9.6683e+06"	AAA	"10.19881052514816"	"12.74853244632"	"2s"	"2S"	"1/2"	"4p"	"2P*"	"1/2"	2	2		"T8637"	"L9477"	
"486.135"	"0.005"	"486.1333"	"0.0003"	"180000"	"8.4193e+06"	AAA	"10.1988358"	"12.7485393"	"2"	""	""	"4"	""	""	8	32		"T8637"	"L7439c30"	
""	""	"486.1361516"	"0.0000024"	""	"2.0625e+07"	AAA	"10.19885151459"	"12.74853999753"	"2p"	"2P*"	"3/2"	"4d"	"2D"	"5/2"	4	6		"T8637"	""	
""	""	"486.1365118"	"0.0000024"	""	"3.4375e+06"	AAA	"10.19885151459"	"12.7485381084"	"2p"	"2P*"	"3/2"	"4d"	"2D"	"3/2"	4	4		"T8637"	""	
""	""	"486.1374864"	"0.0000024"	""	"1.7190e+06"	AAA	"10.19885151459"	"12.74853299663"	"2p"	"2P*"	"3/2"	"4s"	"2S"	"1/2"	4	2		"T8637"	""	
"656.270970"	"0.000004"	"656.270970"	"0.000003"	""	"5.3877e+07"	AAA	"10.19880615024"	"12.0875070783"	"2p"	"2P*"	"1/2"	"3d"	"2D"	"3/2"	2	4		"T8637"	"L2752"	
"656.272483"	"0.000003"	"656.272483"	"0.000003"	""	"2.2448e+07"	AAA	"10.19881052514816"	"12.0875071004"	"2s"	"2S"	"1/2"	"3p"	"2P*"	"3/2"	2	4		"T8637"	"L6891c38"	
""	""	"656.275181"	"0.000003"	""	"2.1046e+06"	AAA	"10.19880615024"	"12.0874949611"	"2p"	"2P*"	"1/2"	"3s"	"2S"	"1/2"	2	2		"T8637"	""	
"656.277153"	"0.000003"	"656.277153"	"0.000003"	""	"2.2449e+07"	AAA	"10.19881052514816"	"12.0874936591"	"2s"	"2S"	"1/2"	"3p"	"2P*"	"1/2"	2	2		"T8637"	"L6891c38"	
"656.279"	"0.003"	"656.2819"	"0.0007"	"500000"	"4.4101e+07"	AAA	"10.1988358"	"12.0875052"	"2"	""	""	"3"	""	""	8	18		"T8637"	"L7400c29"	
"656.285175"	"0.000007"	"656.285177"	"0.000003"	""	"6.4651e+07"	AAA	"10.19885151459"	"12.0875115582"	"2p"	"2P*"	"3/2"	"3d"	"2D"	"5/2"	4	6		"T8637"	"L2752"	
""	""	"656.286734"	"0.000003"	""	"1.0775e+07"	AAA	"10.19885151459"	"12.0875070783"	"2p"	"2P*"	"3/2"	"3d"	"2D"	"3/2"	4	4		"T8637"	""	
""	""	"656.290944"	"0.000003"	""	"4.2097e+06"	AAA	"10.19885151459"	"12.0874949611"	"2p"	"2P*"	"3/2"	"3s"	"2S"	"1/2"	4	2		"T8637"	""	
"839.240"	"0.003"	"839.2397"	"0.0006"	"700"	"1.5167e+03"	AAA	"12.0875052"	"[13.56443886]"	"3"	""	""	"20"	""	""	18	800		"T8637"	"L7400c29"	
"841.332"	"0.003"	"841.3318"	"0.0006"	"700"	"1.9643e+03"	AAA	"12.0875052"	"[13.56076619]"	"3"	""	""	"19"	""	""	18	722		"T8637"	"L7400c29"	
"843.795"	"0.003"	"843.7956"	"0.0006"	"700"	"2.5804e+03"	AAA	"12.0875052"	"[13.55646454]"	"3"	""	""	"18"	""	""	18	648		"T8637"	"L7400c29"	
"846.726"	"0.003"	"846.7254"	"0.0006"	"700"	"3.4442e+03"	AAA	"12.0875052"	"[13.55138166]"	"3"	""	""	"17"	""	""	18	578		"T8637"	"L7400c29"	
"850.249"	"0.003"	"850.2483"	"0.0006"	"(1200)"	"4.6801e+03"	AAA	"12.0875052"	"[13.54531624]"	"3"	""	""	"16"	""	""	18	512		"T8637"	"L7400c29"	
"854.538"	"0.003"	"854.5383"	"0.0006"	"(1400)"	"6.4901e+03"	AAA	"12.0875052"	"[13.53799772]"	"3"	""	""	"15"	""	""	18	450		"T8637"	"L7400c29"	
"859.839"	"0.003"	"859.8392"	"0.0006"	"2300"	"9.2117e+03"	AAA	"12.0875052"	"[13.52905552]"	"3"	""	""	"14"	""	""	18	392		"T8637"	"L7400c29"	
"866.502"	"0.003"	"866.5018"	"0.0006"	"(2200)"	"1.3431e+04"	AAA	"12.0875052"	"[13.51797128]"	"3"	""	""	"13"	""	""	18	338		"T8637"	"L7400c29"	
"875.046"	"0.003"	"875.0472"	"0.0005"	"2200"	"2.0207e+04"	AAA	"12.0875052"	"13.50400193"	"3"	""	""	"12"	""	""	18	288		"T8637"	"L7400c29"	
"886.289"	"0.010"	"886.2783"	"0.0006"	"(3600)"	"3.1558e+04"	AAA	"12.0875052"	"13.48605194"	"3"	""	""	"11"	""	""	18	242		"T8637"	"L7400c29"	
