element	sp_num	obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Cl	2	""	"478.1789"	""	"4.7e+06"	E	"15.649377"	"18.241494"	"3s2.3p3.(2D*).3d"	"3F*"	"3"	"3s2.3p3.(2D*).4p"	"3F"	"3"	7	7		"T1619CA,LS"	""	
Cl	2	""	"478.5364"	""	"2.6e+07"	D	"17.094863"	"19.685043"	"3s2.3p3.(2P*).4s"	"3P*"	"2"	"3s2.3p3.(2P*).4p"	"3D"	"2"	5	5		"T1619CA,LS"	""	
Cl	2	"479.455"	"479.4556"	"99000"	"1.04e+08"	C	"13.375373"	"15.960588"	"3s2.3p3.(4S*).4s"	"5S*"	"2"	"3s2.3p3.(4S*).4p"	"5P"	"3"	5	7		"T8043"	"L1617"	
Cl	2	""	"479.5699"	""	"2.8e+06"	E	"17.094863"	"19.679461"	"3s2.3p3.(2P*).4s"	"3P*"	"2"	"3s2.3p3.(2P*).4p"	"3D"	"1"	5	3		"T1619CA,LS"	""	
Cl	1	""	"479.6924"	""	"1.9e+05"	D	"9.2821597"	"11.8660979"	"3s2.3p4.(3P).4s"	"2P"	"1/2"	"3s2.3p4.(3P).5p"	"2D*"	"3/2"	2	4		"T694"	""	
Cl	2	""	"479.8305"	""	"6.2e+05"	E	"15.649377"	"18.232572"	"3s2.3p3.(2D*).3d"	"3F*"	"3"	"3s2.3p3.(2D*).4p"	"3F"	"2"	7	5		"T1619CA,LS"	""	
Cl	2	"481.006"	"481.0070"	"29000"	"9.9e+07"	C	"13.375373"	"15.952250"	"3s2.3p3.(4S*).4s"	"5S*"	"2"	"3s2.3p3.(4S*).4p"	"5P"	"2"	5	5		"T8043"	"L1617"	
Cl	2	""	"481.1609"	""	"3.4e+07"	D	"18.572848"	"21.148900"	"3s2.3p3.(2D*).4p"	"3P"	"2"	"3s2.3p3.(2D*).5s"	"3D*"	"3"	5	7		"T1619CA,LS"	""	
Cl	1	""	"481.8433"	""	"3.9e+05"	D	"9.2028320"	"11.7752360"	"3s2.3p4.(3P).4s"	"2P"	"3/2"	"3s2.3p4.(3P).5p"	"4P*"	"1/2"	4	2		"T694"	""	
Cl	1	""	"481.8699"	""	"1.9e+05"	D	"9.2821597"	"11.8544214"	"3s2.3p4.(3P).4s"	"2P"	"1/2"	"3s2.3p4.(3P).5p"	"4S*"	"3/2"	2	4		"T694"	""	
Cl	2	"481.947"	"481.9480"	"16000"	"1.00e+08"	C	"13.375373"	"15.947218"	"3s2.3p3.(4S*).4s"	"5S*"	"2"	"3s2.3p3.(4S*).4p"	"5P"	"1"	5	3		"T8043"	"L1617"	
Cl	2	""	"481.9756"	""	"5.1e+06"	E	"15.678806"	"18.250504"	"3s2.3p3.(2D*).3d"	"3F*"	"4"	"3s2.3p3.(2D*).4p"	"3F"	"4"	9	9		"T1619CA,LS"	""	
Cl	2	""	"482.0960"	""	"8.5e+06"	D	"18.572848"	"21.143903"	"3s2.3p3.(2D*).4p"	"3P"	"2"	"3s2.3p3.(2D*).5s"	"3D*"	"2"	5	5		"T1619CA,LS"	""	
Cl	2	""	"482.5705"	""	"9.5e+05"	E	"18.572848"	"21.141375"	"3s2.3p3.(2D*).4p"	"3P"	"2"	"3s2.3p3.(2D*).5s"	"3D*"	"1"	5	3		"T1619CA,LS"	""	
Cl	2	""	"483.6702"	""	"4.4e+05"	E	"15.678806"	"18.241494"	"3s2.3p3.(2D*).3d"	"3F*"	"4"	"3s2.3p3.(2D*).4p"	"3F"	"3"	9	7		"T1619CA,LS"	""	
Cl	1	""	"485.2706"	""	"2.3e+05"	D+	"9.2028320"	"11.7570682"	"3s2.3p4.(3P).4s"	"2P"	"3/2"	"3s2.3p4.(3P).5p"	"2D*"	"5/2"	4	6		"T1277,T694"	""	
Cl	2	""	"485.7045"	""	"2.5e+07"	D	"18.591949"	"21.143903"	"3s2.3p3.(2D*).4p"	"3P"	"1"	"3s2.3p3.(2D*).5s"	"3D*"	"2"	3	5		"T1619CA,LS"	""	
Cl	2	""	"486.1861"	""	"1.4e+07"	D	"18.591949"	"21.141375"	"3s2.3p3.(2D*).4p"	"3P"	"1"	"3s2.3p3.(2D*).5s"	"3D*"	"1"	3	3		"T1619CA,LS"	""	
Cl	2	""	"487.7688"	""	"1.9e+07"	D	"18.600221"	"21.141375"	"3s2.3p3.(2D*).4p"	"3P"	"0"	"3s2.3p3.(2D*).5s"	"3D*"	"1"	1	3		"T1619CA,LS"	""	
Cl	2	""	"489.1696"	""	"3.3e+04"	E	"15.626167"	"18.160045"	"3s2.3p3.(2D*).3d"	"3F*"	"2"	"3s2.3p3.(2D*).4p"	"3D"	"3"	5	7		"T1619CA,LS"	""	
Cl	2	"489.677"	"489.6783"	"81000"	"8.8e+07"	D	"15.719258"	"18.250504"	"3s2.3p3.(2D*).4s"	"3D*"	"3"	"3s2.3p3.(2D*).4p"	"3F"	"4"	7	9		"T1277,T1619CA,LS"	"L1617"	
Cl	2	""	"489.8909"	""	"1.1e+07"	D	"17.081522"	"19.611669"	"3s2.3p3.(2P*).4s"	"3P*"	"0"	"3s2.3p3.(2P*).4p"	"3S"	"1"	1	3		"T1619CA,LS"	""	
Cl	2	"490.478"	"490.4776"	"47000"	"8.1e+07"	D	"15.714374"	"18.241494"	"3s2.3p3.(2D*).4s"	"3D*"	"2"	"3s2.3p3.(2D*).4p"	"3F"	"3"	5	7		"T1277,T1619CA,LS"	"L1617"	
Cl	2	""	"490.7176"	""	"3.2e+07"	D	"17.085785"	"19.611669"	"3s2.3p3.(2P*).4s"	"3P*"	"1"	"3s2.3p3.(2P*).4p"	"3S"	"1"	3	3		"T1619CA,LS"	""	
Cl	2	""	"491.4275"	""	"1.0e+07"	D	"15.719258"	"18.241494"	"3s2.3p3.(2D*).4s"	"3D*"	"3"	"3s2.3p3.(2D*).4p"	"3F"	"3"	7	7		"T1277,T1619CA,LS"	""	
Cl	2	"491.773"	"491.7730"	"26000"	"7.5e+07"	D	"15.712108"	"18.232572"	"3s2.3p3.(2D*).4s"	"3D*"	"1"	"3s2.3p3.(2D*).4p"	"3F"	"2"	3	5		"T1277,T1619CA,LS"	"L1617"	
