element	sp_num	obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Pr	2	"614.824"	"614.824+"	"65bl(Pr I)"	"4.2e+06"	C	"1.456751"	"3.472773"	"4f3.(4I*).5d"	"*"	"6"	"4f3.(4I*).6p?"	""	"7"	13	15		"T8137"	"L3475"	
Pr	2	"615.782"	"615.781+"	"22"	"6.2e+05"	D+	"1.260110"	"3.272999"	"4f3.(4I*).5d"	"3K*"	"6"	"4f3.(4I*).6p?"	""	"6"	13	13		"T8137"	"L3475"	
Pr	2	"615.910"	"615.913+"	"13"	"8.1e+05"	C+	"1.162802"	"3.175260"	"4f3.(4I*).5d"	"5H*"	"5"	""	""	"6"	11	13		"T8137"	"L3475"	
Pr	2	"616.118"	"616.118+"	"190"	"1.02e+07"	C	"1.052610"	"3.064398"	"4f3.(4I*).5d"	"5I*"	"5"	"4f3.(4I*).6p"	"5I"	"5"	11	11		"T8137"	"L3475"	
Pr	2	"618.234"	"618.234+"	"55"	"2.6e+06"	C+	"1.439587"	"3.444491"	"4f3.(4I*).5d"	"5I*"	"8"	""	""	"8"	17	17		"T8137"	"L3475"	
Pr	2	"619.745"	"619.745+"	"35"	"1.9e+06"	C+	"1.330319"	"3.330333"	"4f3.(4I*).5d"	"5H*"	"6"	"4f3.(4I*).6p"	"5I"	"7"	13	15		"T8137"	"L3475"	
Pr	2	"620.081"	"620.082+"	"35"	"2.8e+06"	D+	"1.364517"	"3.363443"	"4f3.(4I*).5d"	"5I*"	"7"	"4f3.(4I*).6p"	"5K"	"8"	15	17		"T2994n"	"L3475"	
Pr	2	"624.435"	"624.436+"	"45"	"2.3e+06"	C+	"1.196035"	"3.181024&dagger;"	"4f3.(4I*).5d"	"5I*"	"6"	"4f3.(4I*).6p"	"5I"	"6"	13	13		"T8137"	"L3475"	
Pr	2	"625.510"	"625.510+"	"35"	"1.39e+06"	C+	"1.260110"	"3.241692"	"4f3.(4I*).5d"	"3K*"	"6"	"4f3.(4I*).6p?"	""	"5"	13	11		"T8137"	"L3475"	
Pr	2	"626.255"	"626.255+"	"40"	"1.24e+06"	B	"1.196035"	"3.175260"	"4f3.(4I*).5d"	"5I*"	"6"	""	""	"6"	13	13		"T8137"	"L3475"	
