element	sp_num	obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Dy	1	"507.068"	"507.067+"	"95"	"4.59e+06"	B+	"1.2387229"	"3.683164"	"4f9.(6H*).5d.6s2"	"7I*"	"9"	""	""	"10"	19	21		"T7148"	"L3475"	
Dy	1	"507.767"	"507.7667+"	"120"	"4.1e+05"	B	"0.0000000"	"2.4410747"	"4f10.6s2"	"5I"	"8"	"4f9.(6H*).5d.6s2"	"5K*"	"8"	17	17		"T7148"	"L3475"	
Dy	1	"518.530"	"518.530+"	"80"	"2.46e+05"	B	"1.4886933"	"3.879099"	"4f9.(6H*).5d.6s2"	"7I*"	"8"	""	""	"9"	17	19		"T7148"	"L3475"	
Dy	1	"526.711"	"526.711+"	"65"	"2.85e+06"	B+	"1.2387229"	"3.591998"	"4f9.(6H*).5d.6s2"	"7I*"	"9"	""	""	"8"	19	17		"T7148"	"L3475"	
Dy	1	"530.158"	"530.158+"	"160"	"8.5e+05"	B+	"0.0000000"	"2.337975"	"4f10.6s2"	"5I"	"8"	"4f9.(6F*).5d.6s2"	"*"	"7"	17	15		"T7148"	"L3475"	
Dy	1	"552.801"	"552.801+"	"30"	"2.21e+06"	C+	"1.569036"	"3.811248"	"4f9.(6H*).5d.6s2"	"7G*"	"7"	""	""	"8"	15	17		"T7148"	"L3475"	
Dy	1	"554.727"	"554.727+"	"65"	"3.0e+05"	B	"0.0000000"	"2.234430"	"4f10.6s2"	"5I"	"8"	"4f10.(5I<8>).6s.6p.(3P*<2>)"	"(8,2)*"	"8"	17	17		"T7148"	"L3475"	
Dy	1	"562.749"	"562.748+"	"20"	"1.66e+05"	B+	"0.5125782"	"2.715157"	"4f10.6s2"	"5I"	"7"	"4f10.(5I<7>).6s.6p.(3P*<2>)"	"(7,2)*"	"8"	15	17		"T7148"	"L3475"	
Dy	1	"563.950"	"563.950+"	"100"	"4.9e+05"	B	"0.0000000"	"2.197886"	"4f10.6s2"	"5I"	"8"	"4f10.(5I<8>).6s.6p.(3P*<2>)"	"(8,2)*"	"9"	17	19		"T7148"	"L3475"	
Dy	1	"565.201"	"565.201+"	"80"	"4.46e+05"	B+	"0.0000000"	"2.193020"	"4f10.6s2"	"5I"	"8"	"4f9.(6H*).5d.6s2"	"7K*"	"7"	17	15		"T7148"	"L3475"	
Dy	1	"574.553"	"574.553+"	"55"	"1.49e+06"	B+	"1.2387229"	"3.396047"	"4f9.(6H*).5d.6s2"	"7I*"	"9"	""	""	"9"	19	19		"T7148"	"L3475"	
Dy	1	"594.580"	"594.579+"	"70"	"4.21e+06"	B+	"1.598499"	"3.683164"	"4f9.(6H*).5d.6s2"	"7K*"	"10"	""	""	"10"	21	21		"T7148"	"L3475"	
Dy	1	"597.449"	"597.449+"	"120"	"4.2e+05"	B	"0.0000000"	"2.074652"	"4f10.6s2"	"5I"	"8"	"4f10.(5I<8>).6s.6p.(3P*<1>)"	"(8,1)*"	"8"	17	17		"T7148"	"L3475"	
Dy	1	"598.856"	"598.856+"	"140"	"5.6e+05"	B+	"0.0000000"	"2.069776"	"4f10.6s2"	"5I"	"8"	"4f10.(5I<8>).6s.6p.(3P*<1>)"	"(8,1)*"	"7"	17	15		"T7148"	"L3475"	
Dy	1	"601.082"	"601.082+"	"65"	"5.9e+05"	B	"0.5125782"	"2.574692"	"4f10.6s2"	"5I"	"7"	"4f10.(5I<7>).6s.6p.(3P*<1>)"	"(7,1)*"	"7"	15	15		"T7148"	"L3475"	
Dy	1	"608.826"	"608.826+"	"140"	"1.46e+06"	B+	"0.5125782"	"2.548462"	"4f10.6s2"	"5I"	"7"	"4f9.(6H*).5d.6s2"	"5I*"	"6"	15	13		"T7148"	"L3475"	
Dy	1	"612.715"	"612.715+"	"24"	"1.10e+06"	B+	"1.569036"	"3.591998"	"4f9.(6H*).5d.6s2"	"7G*"	"7"	""	""	"8"	15	17		"T7148"	"L3475"	
Dy	1	"616.843"	"616.843+"	"100"	"8.1e+05"	B+	"0.5125782"	"2.522002"	"4f10.6s2"	"5I"	"7"	"4f10.(5I<7>).6s.6p.(3P*<1>)"	"(7,1)*"	"8"	15	17		"T7148"	"L3475"	
Dy	1	"625.909"	"625.909+"	"270"	"8.9e+05"	B+	"0.0000000"	"1.980319"	"4f10.6s2"	"5I"	"8"	"4f10.(5I<8>).6s.6p.(3P*<1>)"	"(8,1)*"	"9"	17	19		"T7148"	"L3475"	
Dy	1	"657.937"	"657.937+"	"160"	"7.7e+05"	B	"0.0000000"	"1.883919"	"4f10.6s2"	"5I"	"8"	"4f9.(6H*).5d.6s2"	"5H*"	"7"	17	15		"T7148"	"L3475"	
Dy	1	"737.604"	"737.604+"	"20"	"1.10e+05"	B+	"0.5125782"	"2.193020"	"4f10.6s2"	"5I"	"7"	"4f9.(6H*).5d.6s2"	"7K*"	"7"	15	15		"T7148"	"L3475"	
