element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Tm	1	"504.4758"	"0.0005"	"504.476+"	"5"	"6.3e+04"	C+	"2.0403972"	"4.497395"	"4f12.(3H<6>).5d<5/2>.6s2"	"(6,5/2)"	"17/2"	"4f12.(3H<6>).5d.6s.6p.(4F*<7/2>)"	"*"	"15/2"	18	16		"T6708"	"L2006"	
Tm	1	"505.3043"	"0.0005"	"505.3039+"	"290"	"2.11e+05"	B	"1.0874955"	"3.5404678"	"4f13.(2F*).6s2"	"2F*"	"5/2"	"4f13.(2F*<5/2>).6s.6p.(3P*<2>)"	"(5/2,2)"	"7/2"	6	8		"T6708"	"L2006"	
Tm	1	"506.0895"	"0.0005"	"506.0898+"	"1500"	"4.0e+05"	B	"0.0000000"	"2.4491628"	"4f13.(2F*).6s2"	"2F*"	"7/2"	"4f13.(2F*<7/2>).6s.6p.(3P*<2>)"	"(7/2,2)"	"7/2"	8	8		"T6708"	"L2006,L3475"	
Tm	1	"506.2250"	"0.0005"	"506.2253+"	"270"	"4.9e+04"	C+	"0.0000000"	"2.4485073"	"4f13.(2F*).6s2"	"2F*"	"7/2"	"4f13.(2F*<7/2>).6s.6p.(3P*<2>)"	"(7/2,2)"	"9/2"	8	10		"T3042n"	"L2006,L3475"	
Tm	1	"506.5812"	"0.0005"	"506.582+"	"76"	"4.7e+05"	B	"2.3375761"	"4.784359"	"4f12.(3H<6>).5d<5/2>.6s2"	"(6,5/2)"	"11/2"	"4f12.5d.6s.6p"	"*"	"13/2"	12	14		"T6708"	"L2006"	
Tm	1	"506.6670"	"0.0005"	"506.6670+"	"800"	"2.66e+07"	B+	"2.4485073"	"4.8948804"	"4f13.(2F*<7/2>).6s.6p.(3P*<2>)"	"(7/2,2)"	"9/2"	"4f13.(2F*<7/2>).6s.6d.(3D)"	"3[9/2]*"	"11/2"	10	12		"T6708"	"L2006,L3475"	
Tm	1	"506.8890"	"0.0005"	"506.889+"	"120"	"5.7e+05"	B+	"2.0403972"	"4.485699"	"4f12.(3H<6>).5d<5/2>.6s2"	"(6,5/2)"	"17/2"	"4f12.(3H<6>).5d.6s.6p.(4D*<5/2>)"	"(6,5/2)*"	"15/2"	18	16		"T6708"	"L2006"	
Tm	1	"507.1057"	"0.0005"	"507.1062+"	"78"	"2.50e+06"	B	"2.4485073"	"4.8927614"	"4f13.(2F*<7/2>).6s.6p.(3P*<2>)"	"(7/2,2)"	"9/2"	"4f13.(2F*<7/2>).6s.6d.(3D)"	"3[7/2]*"	"7/2"	10	8		"T6708"	"L2006"	
Tm	1	"507.2416"	"0.0005"	"507.2422+"	"270"	"1.40e+07"	B+	"2.4491628"	"4.8927614"	"4f13.(2F*<7/2>).6s.6p.(3P*<2>)"	"(7/2,2)"	"7/2"	"4f13.(2F*<7/2>).6s.6d.(3D)"	"3[7/2]*"	"7/2"	8	8		"T6708"	"L2006,L3475"	
Tm	1	"507.3513"	"0.0005"	"507.352+"	"250"	"2.07e+06"	B+	"2.1641216"	"4.607192"	"4f12.(3H<6>).5d<3/2>.6s2"	"(6,3/2)"	"13/2"	"4f12.5d.6s.6p"	"*"	"15/2"	14	16		"T6708"	"L2006"	
Tm	1	"508.0577"	"0.0005"	"508.0571+"	"39"	"4.3e+04"	C+	"1.0874955"	"3.5271750"	"4f13.(2F*).6s2"	"2F*"	"5/2"	"4f13.(2F*<5/2>).6s.6p.(3P*<2>)"	"(5/2,2)"	"5/2"	6	6		"T6708"	"L2006"	
Tm	1	"508.4244"	"0.0005"	"508.4246+"	"10"	"9.6e+04"	C+	"2.1838154"	"4.6217314"	"4f13.(2F*<7/2>).6s.6p.(3P*<1>)"	"(7/2,1)"	"9/2"	"4f12.5d.6s.6p"	"*"	"11/2"	10	12		"T6708"	"L2006"	
Tm	1	"508.4624"	"0.0005"	"508.4631+"	"15"	"3.2e+05"	C+	"2.3355381"	"4.7732696"	"4f12.(3H<6>).5d<5/2>.6s2"	"(6,5/2)"	"9/2"	"4f12.5d.6s.6p"	"*"	"9/2"	10	10		"T6708"	"L2006"	
Tm	1	"510.1129"	"0.0005"	"510.113+"	"100"	"9.0e+05"	B+	"2.3545103"	"4.784359"	"4f13.(2F*<7/2>).6s.6p.(3P*<2>)"	"(7/2,2)"	"11/2"	"4f12.5d.6s.6p"	"*"	"13/2"	12	14		"T6708"	"L2006"	
