element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Rb	2	"464.8566"	"0.0005"	"464.8557"	"10000"	"3.5e+07"		"17.7870182"	"20.4534261"	"4p5.4d"	"3P*"	"1"	"4p5.(2P*<1/2>).5p"	"2[3/2]"	"2"	3	5		"T3743"	"L2590"	
Rb	2	"465.9285"	"0.0005"	"465.9284"	"500"	"2.7e+08"		"19.6777620"	"22.3380312"	"4p5.(2P*<3/2>).5p"	"2[3/2]"	"2"	"4p5.(2P*<3/2>).6s"	"2[3/2]*"	"1"	5	3		"T3743"	"L2590"	
Rb	2	"473.0454"	"0.0005"	"473.0454"	"1000"	"1.3e+07"		"17.8482533"	"20.4684992"	"4p5.4d"	"3P*"	"2"	"4p5.(2P*<1/2>).5p"	"2[1/2]"	"1"	5	3		"T3743"	"L2590"	
Rb	2	"475.7822"	"0.0010"	"475.7824"	"400c"	"1.1e+07"		"17.8482533"	"20.4534261"	"4p5.4d"	"3P*"	"2"	"4p5.(2P*<1/2>).5p"	"2[3/2]"	"2"	5	5		"T3743"	"L2590"	
Rb	2	"477.5949"	"0.0005"	"477.5954"	"30000"	"3.7e+07"		"16.5322523"	"19.1275357"	"4p5.(2P*<3/2>).5s"	"2[3/2]*"	"2"	"4p5.(2P*<3/2>).5p"	"2[1/2]"	"1"	5	3		"T3743"	"L2590"	
Rb	2	"478.2830"	"0.0005"	"478.2845"	"5000c"	"3.3e+07"		"17.7325096"	"20.3240539"	"4p5.4d"	"3P*"	"0"	"4p5.(2P*<1/2>).5p"	"2[3/2]"	"1"	1	3		"T3743"	"L2590"	
Rb	2	"485.5336"	"0.0010"	"485.5341"	"300c"	"6.3e+07"		"17.4334240"	"19.9862740"	"4p5.(2P*<1/2>).5s"	"2[1/2]*"	"1"	"4p5.(2P*<3/2>).5p"	"2[1/2]"	"0"	3	1		"T3743"	"L2590"	
Rb	2	"488.5588"	"0.0010"	"488.5607"	"1500c"	"6.e+06"		"17.7870182"	"20.3240539"	"4p5.4d"	"3P*"	"1"	"4p5.(2P*<1/2>).5p"	"2[3/2]"	"1"	3	3		"T3743"	"L2590"	
Rb	2	"500.6455"	"0.0010"	"500.6446"	"10c"	"5.e+06"		"17.8482533"	"20.3240539"	"4p5.4d"	"3P*"	"2"	"4p5.(2P*<1/2>).5p"	"2[3/2]"	"1"	5	3		"T3743"	"L2590"	
Rb	1	"505.02"	"0.03"	"505.07"	""	"6.54e+06"		"16.64489"	"19.09902"	"4p5.5s.5p"	"4S"	"3/2"	"4p5.4d.(1P).5s"	"2P*"	"3/2"	4	4		"T7580"	"L7245"	
Rb	2	"515.2081"	"0.0005"	"515.2081"	"10000"	"3.4e+07"		"16.7217180"	"19.1275357"	"4p5.(2P*<3/2>).5s"	"2[3/2]*"	"1"	"4p5.(2P*<3/2>).5p"	"2[1/2]"	"1"	3	3		"T3743"	"L2590"	
Rb	2	"516.4576"	"0.0005"	"516.4575"	"300"	"2.1e+07"		"17.2083100"	"19.6083075"	"4p5.(2P*<1/2>).5s"	"2[1/2]*"	"0"	"4p5.(2P*<3/2>).5p"	"2[3/2]"	"1"	1	3		"T3743"	"L2590"	
Rb	1	"521.76"	"0.03"	"521.75"	""	"2.86e+06"		"16.64489"	"19.02054"	"4p5.5s.5p"	"4S"	"3/2"	"4p5.5p2"	"4D*"	"5/2"	4	6		"T7580"	"L7245"	
