element	sp_num	obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Ta	1	"539.5986"	"539.597+"	"40"	"2.5e+05"	C	"1.147279"	"3.444358"	"5d3.6s2"	"a 4P"	"5/2"	"5d3.6s.(5F).6p"	"z 6D*"	"7/2"	6	8		"T4976"	"L7593,L3475"	
Ta	1	"540.2507"	"540.252+"	"200"	"1.35e+06"	B+	"0.000000"	"2.294293"	"5d3.6s2"	"a 4F"	"3/2"	"5d2.6s2.(3F).6p"	"z 4D*"	"1/2"	4	2		"T4976"	"L7593,L3475"	
Ta	1	"543.5267"	"543.527+"	"65"	"1.07e+06"	C+	"1.357654"	"3.638125"	"5d3.6s2"	"a 2P"	"3/2"	""	"293*"	"5/2"	4	6		"T4976"	"L7593,L3475"	
Ta	1	"549.9442"	"549.945+"	"50"	"6.1e+05"	C+	"1.655369"	"3.909224"	"5d4.(5D).6s"	"a 6D"	"9/2"	""	"315*"	"9/2"	10	10		"T4976"	"L7593,L3475"	
Ta	1	"550.5655"	"550.566+"	"20"	"1.9e+05"	C+	"1.236843"	"3.488157"	"5d4.(5D).6s"	"a 6D"	"3/2"	"5d3.6s.(5F).6p"	"y 4D*"	"5/2"	4	6		"T4976"	"L7593,L3475"	
Ta	1	"551.891"	"551.890+"	"90"	"3.8e+06"	C+	"2.155232"	"4.401148"	"5d3.6s2"	"a 2F"	"7/2"	""	"354*"	"9/2"	8	10		"T4976"	"L182,L3475"	
Ta	1	"554.520"	"554.517+"	"10l"	"3.e+05"	E	"1.595177"	"3.830451"	"5d3.6s2"	"a 2D"	"5/2"	"5d3.6s.(5P).6p"	"z 4S*"	"3/2"	6	4		"T4976"	"L3475"	
Ta	1	"562.0684"	"562.070+"	"40"	"6.0e+05"	B+	"1.516917"	"3.722154"	"5d4.(5D).6s"	"a 6D"	"7/2"	""	"300*"	"9/2"	8	10		"T4976"	"L7593,L3475"	
Ta	1	"563.5710"	"563.570+"	"20"	"3.6e+05"	C+	"1.357654"	"3.557021"	"5d3.6s2"	"a 2P"	"3/2"	""	"286*"	"3/2"	4	4		"T4976"	"L7593,L3475"	
Ta	1	"564.0179"	"564.019+"	"40"	"4.9e+05"	C+	"1.595177"	"3.792794"	"5d3.6s2"	"a 2D"	"5/2"	""	"305*"	"7/2"	6	8		"T4976"	"L7593,L3475"	
Ta	1	"564.5911"	"564.591+"	"150"	"1.43e+06"	B+	"1.147279"	"3.342671"	"5d3.6s2"	"a 4P"	"5/2"	""	"269*"	"7/2"	6	8		"T4976"	"L7593,L3475"	
Ta	1	"569.9242"	"569.924+"	"40"	"4.2e+05"	B	"1.147279"	"3.322127"	"5d3.6s2"	"a 4P"	"5/2"	"5d3.6s.(5F).6p"	"z 6D*"	"5/2"	6	6		"T4976"	"L7593,L3475"	
Ta	1	"571.6533"	"571.656+"	"8"	"1.01e+05"	C	"1.516917"	"3.685176"	"5d4.(5D).6s"	"a 6D"	"7/2"	""	"297*"	"7/2"	8	8		"T4976"	"L7593,L3475"	
Ta	1	"576.6561"	"576.654+"	"25"	"3.00e+05"	B	"1.147279"	"3.296744"	"5d3.6s2"	"a 4P"	"5/2"	"5d2.6s2.(3P).6p"	"z 4P*?"	"3/2"	6	4		"T4976"	"L7593,L3475"	
Ta	1	"576.7913"	"576.791+"	"30c"	"2.6e+05"	B	"1.147279"	"3.296235"	"5d3.6s2"	"a 4P"	"5/2"	"5d3.6s.(5F).6p"	"z 6F*"	"7/2"	6	8		"T4976"	"L7593,L3475"	
