element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Hg	2	"241.4142"	"0.0003"	"241.41430"	"0.00010"	"45000"	"1.0e+08"		"11.8162072"	"16.9503903"	"5d9.6s.6p"	"(2D<5/2>,3P<2>)*"	"5/2"	"5d9.6s.7s"	"[(2D<5/2>,1/2)<3>,1/2]"	"5/2"	6	6		"T7226"	"L11760"	
Hg	2	"241.6292"	"0.0003"	"241.62933"	"0.00010"	"60"	"1.0e+07"		"12.8786481"	"18.008263"	"5d9.6s.6p"	"(2D<3/2>,3P<1>)*"	"1/2"	"5d9.6s.6d"	"[(2D<5/2>,1/2)<3>,5/2]"	"1/2"	2	2		"T7226"	"L11760"	
Hg	2	"241.6638"	"0.0003"	"241.66379"	"0.00010"	"10"	"2.0e+04"		"10.4410074"	"15.5698905"	"5d9.6s.6p"	"(2D<5/2>,3P<1>)*"	"7/2"	"5d10.7d"	"2D"	"5/2"	8	6		"T7226"	"L11760"	
Hg	2	"243.6004"	"0.0003"	"243.60016"	"0.00010"	"50"	"6.8e+05"		"12.8786481"	"17.9667648"	"5d9.6s.6p"	"(2D<3/2>,3P<1>)*"	"1/2"	"5d9.6s.6d"	"[(2D<5/2>,1/2)<3>,5/2]"	"3/2"	2	4		"T7226"	"L11760"	
Hg	2	"245.8807"	"0.0003"	"245.88059"	"0.00010"	"20h"	"3.6e+07"		"13.5112688"	"18.552199"	"5d9.6s.6p"	"(2D<5/2>,1P<1>)*"	"5/2"	"5d9.6s.6d"	"[(2D<5/2>,1/2)<2>,5/2]"	"7/2"	6	8		"T7226"	"L11760"	
Hg	2	"246.4357"	"0.0003"	"246.43580"	"0.00010"	"3500"	"2.8e+07"		"13.1529893"	"18.1825633"	"5d9.6s.6p"	"(2D<5/2>,1P<1>)*"	"3/2"	"5d9.6p2"	"(2D<5/2>,3P<0>)"	"5/2"	4	6		"T7226"	"L11760"	
Hg	2	"246.7603"	"0.0002"	"246.76029"	"0.00010"	"4000"	"3.8e+07"		"13.1689890"	"18.1919495"	"5d9.6s.6p"	"(2D<5/2>,1P<1>)*"	"7/2"	"5d9.6s.6d"	"[(2D<5/2>,1/2)<3>,5/2]"	"9/2"	8	10		"T7226"	"L11760"	
Hg	2	"246.9035"	"0.0002"	"246.90365"	"0.00010"	"800"	"1.8e+02"		"10.5183412"	"15.5383855"	"5d9.6s.6p"	"(2D<5/2>,3P<1>)*"	"5/2"	"5d10.7d"	"2D"	"3/2"	6	4		"T7226"	"L11760"	
Hg	2	"247.2223"	"0.0003"	"247.22230"	"0.00010"	"500"	"1.8e+07"		"13.1689890"	"18.1825633"	"5d9.6s.6p"	"(2D<5/2>,1P<1>)*"	"7/2"	"5d9.6p2"	"(2D<5/2>,3P<0>)"	"5/2"	8	6		"T7226"	"L11760"	
Hg	2	"248.1218"	"0.0002"	"248.12180"	"0.00010"	"4000"	"1.5e+07"		"13.1689890"	"18.1643892"	"5d9.6s.6p"	"(2D<5/2>,1P<1>)*"	"7/2"	"5d9.6s.6d"	"[(2D<5/2>,1/2)<3>,5/2]"	"7/2"	8	8		"T7226"	"L11760"	
Hg	2	"249.2064"	"0.0003"	"249.20665"	"0.00010"	"50000"	"7.8e+07"		"11.8017287"	"16.7753844"	"5d9.6s.6p"	"(2D<5/2>,3P<2>)*"	"7/2"	"5d9.6s.7s"	"[(2D<5/2>,1/2)<3>,1/2]"	"7/2"	8	8		"T7226"	"L11760"	
Hg	2	"249.3252"	"0.0003"	"249.32551"	"0.00010"	"200"	"2.4e+06"		"11.8670739"	"16.8383587"	"5d10.7s"	"2S"	"1/2"	"5d10.9p"	"2P*"	"3/2"	2	4		"T7226"	"L11760"	
Hg	2	"249.9338"	"0.0003"	"249.93427"	"0.00010"	"2000"	"1.2e+05"		"11.8162072"	"16.7753844"	"5d9.6s.6p"	"(2D<5/2>,3P<2>)*"	"5/2"	"5d9.6s.7s"	"[(2D<5/2>,1/2)<3>,1/2]"	"7/2"	6	8		"T7226"	"L11760"	
Hg	2	"251.3493"	"0.0003"	"251.34940"	"0.00010"	"12"	"2.7e+05"		"13.1529893"	"18.0842477"	"5d9.6s.6p"	"(2D<5/2>,1P<1>)*"	"3/2"	"5d9.6s.6d"	"[(2D<5/2>,1/2)<3>,3/2]"	"5/2"	4	6		"T7226"	"L11760"	
Hg	2	"251.4762"	"0.0002"	"251.47614"	"0.00010"	"5000"	"3.6e+07"		"13.1689890"	"18.0977621"	"5d9.6s.6p"	"(2D<5/2>,1P<1>)*"	"7/2"	"5d9.6s.6d"	"[(2D<5/2>,1/2)<3>,3/2]"	"7/2"	8	8		"T7226"	"L11760"	
Hg	2	"252.1678"	"0.0002"	"252.16762"	"0.00010"	"300"	"1.6e+06"		"13.1689890"	"18.0842477"	"5d9.6s.6p"	"(2D<5/2>,1P<1>)*"	"7/2"	"5d9.6s.6d"	"[(2D<5/2>,1/2)<3>,3/2]"	"5/2"	8	6		"T7226"	"L11760"	
Hg	2	"252.3324"	"0.0002"	"252.33242"	"0.00010"	"1600p"	"1.2e+06"		"12.0383417"	"16.9503903"	"5d9.6s.6p"	"(2D<3/2>,3P<0>)*"	"3/2"	"5d9.6s.7s"	"[(2D<5/2>,1/2)<3>,1/2]"	"5/2"	4	6		"T7226"	"L11760"	
Hg	2	"253.0113"	"0.0003"	"253.01093"	"0.00010"	"30"	"3.3e+05"		"11.8017287"	"16.7006053"	"5d9.6s.6p"	"(2D<5/2>,3P<2>)*"	"7/2"	"5d10.8d"	"2D"	"5/2"	8	6		"T7226"	"L11760"	
Hg	1	"253.65210"	"0.00010"	"253.65209"	"0.00005"	"900000"	"8.40e+06"	A+	"0.0000000"	"4.8864946"	"5d10.6s2"	"1S"	"0"	"5d10.6s.6p"	"3P*"	"1"	1	3		"T7227"	"L7247"	
Hg	2	"254.5334"	"0.0003"	"254.53352"	"0.00010"	"1500c"	"1.8e+06"		"12.5052160"	"17.3747902"	"5d9.6s.6p"	"(2D<3/2>,3P<1>)*"	"5/2"	"5d9.6s.7s"	"[(2D<5/2>,1/2)<2>,1/2]"	"5/2"	6	6		"T7226"	"L11760"	
Hg	2	"254.6445"	"0.0003"	"254.64406"	"0.00010"	"70s"	"1.8e+05"		"11.8162072"	"16.6836676"	"5d9.6s.6p"	"(2D<5/2>,3P<2>)*"	"5/2"	"5d10.8d"	"2D"	"3/2"	6	4		"T7226"	"L11760"	
Hg	2	"254.7217"	"0.0003"	"254.72176"	"0.00010"	"120"	"1.2e+07"		"13.5112688"	"18.377245"	"5d9.6s.6p"	"(2D<5/2>,1P<1>)*"	"5/2"	"5d9.6s.6d"	"[(2D<5/2>,1/2)<2>,3/2]"	"3/2"	6	4		"T7226"	"L11760"	
