element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Sn	2	"299.446"	"0.003"	"299.4451"	"0.0021"	"790"	"2.7e+07"	D+	"8.97365992"	"13.11292"	"5s2.6p"	"2P*"	"3/2"	"5s2.8d"	"2D"	"5/2"	4	6		"T9352"	"L17864"	
Sn	1	"300.91333"	"0.00009"	"300.91335"	"0.00005"	"12000r"	"3.8e+07"	D	"0.2097572"	"4.32881927"	"5s2.5p2"	"3P"	"1"	"5s2.5p.6s"	"3P*"	"1"	3	3		"T4515"	"L3149,L7378"	
Sn	2	"302.392"	"0.003"	"302.39444"	"0.00014"	"450"	"7.8e+06"	C+	"7.2957486"	"11.3946370"	"5s.5p2"	"2D"	"3/2"	"5s2.7p"	"2P*"	"1/2"	4	2		"T8718"	"L17864"	
Sn	1	"303.27778"	"0.00009"	"303.27782"	"0.00006"	"3300"	"6.2e+07"	D	"2.1278787"	"6.2148283"	"5s2.5p2"	"1S"	"0"	"5s2.5p.5d"	"1P*"	"1"	1	3		"T4515"	"L3149,L7378"	
Sn	1	"303.41150"	"0.00011"	"303.41148"	"0.00005"	"10000r"	"2.0e+08"	D	"0.2097572"	"4.2949066"	"5s2.5p2"	"3P"	"1"	"5s2.5p.6s"	"3P*"	"0"	3	1		"T4515"	"L3149,L7378"	
Sn	2	"304.744"	"0.003"	"304.74642"	"0.00009"	"680"	"6.8e+06"	B+	"7.3725320"	"11.4397872"	"5s.5p2"	"2D"	"5/2"	"5s2.7p"	"2P*"	"3/2"	6	4		"T8718"	"L17864"	
Sn	1	"314.18232"	"0.00006"	"314.18232"	"0.00007"	"2500"	"1.9e+07"	D	"2.1278787"	"6.0729858"	"5s2.5p2"	"1S"	"0"	"5s2.5p.5d"	"3P*"	"1"	1	3		"T4515"	"L3149,L7378"	
Sn	1	"317.50354"	"0.00010"	"317.50348"	"0.00005"	"15000r"	"1.0e+08"	D	"0.4249773"	"4.32881927"	"5s2.5p2"	"3P"	"2"	"5s2.5p.6s"	"3P*"	"1"	5	3		"T4515"	"L3149,L7378"	
Sn	1	"321.86805"	"0.00007"	"321.86807"	"0.00007"	"780"	"4.7e+06"	D	"2.1278787"	"5.9787857"	"5s2.5p2"	"1S"	"0"	"5s2.5p.7s"	"3P*"	"1"	1	3		"T4515"	"L3149,L7378"	
Sn	1	"322.35697"	"0.00005"	"322.35701"	"0.00005"	"950"	"1.2e+05"	D	"1.0678703"	"4.9129366"	"5s2.5p2"	"1D"	"2"	"5s.5p3"	"5S*"	"2"	5	5		"T4515"	"L3149,L7378"	
Sn	1	"326.23310"	"0.00006"	"326.23305"	"0.00004"	"15000r"	"2.7e+08"	D	"1.0678703"	"4.86725425"	"5s2.5p2"	"1D"	"2"	"5s2.5p.6s"	"1P*"	"1"	5	3		"T4515"	"L3149,L7378"	
Sn	2	"328.31399"	"0.00009"	"328.31399"	"0.00006"	"15000"	"1.70e+08"	B+	"7.2957486"	"11.0710518"	"5s.5p2"	"2D"	"3/2"	"5s2.4f"	"2F*"	"5/2"	4	6		"T8718"	"L3149"	
Sn	1	"333.06072"	"0.00007"	"333.06073"	"0.00004"	"4700"	"2.0e+07"	D	"1.0678703"	"4.78937023"	"5s2.5p2"	"1D"	"2"	"5s2.5p.6s"	"3P*"	"2"	5	5		"T4515"	"L3149,L7378"	
Sn	2	"335.13"	""	"335.13021"	"0.00008"	"13000:"	"1.21e+07"	B+	"7.3725320"	"11.0710518"	"5s.5p2"	"2D"	"5/2"	"5s2.4f"	"2F*"	"5/2"	6	6		"T8718"	"L18529"	
Sn	2	"335.19523"	"0.00012"	"335.19538"	"0.00008"	"13000"	"1.82e+08"	B+	"7.3725320"	"11.0703327"	"5s.5p2"	"2D"	"5/2"	"5s2.4f"	"2F*"	"7/2"	6	8		"T8718"	"L3149"	
Sn	2	"347.2333"	"0.0003"	"347.23329"	"0.00012"	"1700"	"4.5e+07"	D+	"8.8640361"	"12.4336451"	"5s2.6p"	"2P*"	"1/2"	"5s2.7d"	"2D"	"3/2"	2	4		"T9352"	"L3149"	
