element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Fr	1	"618.783"	"0.002"	"618.7831"	""	"7.94e+03"		"2.012247"	"4.015371"	"6d"	"2D"	"3/2"	"20p"	"2P*"	"1/2"	4	2		"T6898"	"L12264"	
Fr	1	"621.066"	"0.002"	"621.0658"	""	"9.90e+02"		"2.012247"	"4.008009"	"6d"	"2D"	"3/2"	"19p"	"2P*"	"3/2"	4	4		"T6898"	"L12264"	
Fr	1	"621.341"	"0.002"	"621.3414"	""	"9.91e+03"		"2.012247"	"4.007123"	"6d"	"2D"	"3/2"	"19p"	"2P*"	"1/2"	4	2		"T6898"	"L12264"	
Fr	1	"621.9813"	"0.0002"	"621.98126"	""	"1.33e+06"		"1.51724535"	"3.5100692"	"7p"	"2P*"	"1/2"	"10s"	"2S"	"1/2"	2	2		"T6898"	"L12264"	
Fr	1	"624.178"	"0.002"	"624.1780"	""	"1.23e+03"		"2.012247"	"3.998058"	"6d"	"2D"	"3/2"	"18p"	"2P*"	"3/2"	4	4		"T6898"	"L12264"	
Fr	1	"624.524"	"0.002"	"624.5235"	""	"1.21e+04"		"2.012247"	"3.996959"	"6d"	"2D"	"3/2"	"18p"	"2P*"	"1/2"	4	2		"T6898"	"L12264"	
Fr	1	"626.301"	"0.002"	"626.3009"	""	"6.89e+03"		"2.037016"	"4.016095"	"6d"	"2D"	"5/2"	"20p"	"2P*"	"3/2"	6	4		"T6898"	"L12264"	
Fr	1	"628.112"	"0.002"	"628.1118"	""	"1.53e+03"		"2.012247"	"3.985621"	"6d"	"2D"	"3/2"	"17p"	"2P*"	"3/2"	4	4		"T6898"	"L12264"	
Fr	1	"628.553"	"0.002"	"628.5529"	""	"1.54e+04"		"2.012247"	"3.984236"	"6d"	"2D"	"3/2"	"17p"	"2P*"	"1/2"	4	2		"T6898"	"L12264"	
Fr	1	"628.870"	"0.002"	"628.8704"	""	"8.60e+03"		"2.037016"	"4.008009"	"6d"	"2D"	"5/2"	"19p"	"2P*"	"3/2"	6	4		"T6898"	"L12264"	
Fr	1	"632.062"	"0.002"	"632.0616"	""	"1.05e+04"		"2.037016"	"3.998058"	"6d"	"2D"	"5/2"	"18p"	"2P*"	"3/2"	6	4		"T6898"	"L12264"	
Fr	1	"632.9403"	"0.0003"	"632.9403"	""	"1.10e+06"		"1.72635573"	"3.6846751"	"7p"	"2P*"	"3/2"	"11s"	"2S"	"1/2"	4	2		"T6898"	"L12264"	
Fr	1	"633.190"	"0.002"	"633.1901"	""	"1.99e+03"		"2.012247"	"3.969794"	"6d"	"2D"	"3/2"	"16p"	"2P*"	"3/2"	4	4		"T6898"	"L12264"	
Fr	1	"633.766"	"0.002"	"633.7661"	""	"1.99e+04"		"2.012247"	"3.968015"	"6d"	"2D"	"3/2"	"16p"	"2P*"	"1/2"	4	2		"T6898"	"L12264"	
Fr	1	"636.096"	"0.002"	"636.0957"	""	"1.33e+04"		"2.037016"	"3.985621"	"6d"	"2D"	"5/2"	"17p"	"2P*"	"3/2"	6	4		"T6898"	"L12264"	
Fr	1	"639.914"	"0.002"	"639.9141"	""	"2.63e+03"		"2.012247"	"3.949225"	"6d"	"2D"	"3/2"	"15p"	"2P*"	"3/2"	4	4		"T6898"	"L12264"	
Fr	1	"640.689"	"0.002"	"640.6887"	""	"2.63e+04"		"2.012247"	"3.946883"	"6d"	"2D"	"3/2"	"15p"	"2P*"	"1/2"	4	2		"T6898"	"L12264"	
Fr	1	"641.304"	"0.002"	"641.3044"	""	"1.73e+04"		"2.037016"	"3.969794"	"6d"	"2D"	"5/2"	"16p"	"2P*"	"3/2"	6	4		"T6898"	"L12264"	
Fr	1	"648.203"	"0.002"	"648.2027"	""	"2.28e+04"		"2.037016"	"3.949225"	"6d"	"2D"	"5/2"	"15p"	"2P*"	"3/2"	6	4		"T6898"	"L12264"	
Fr	1	"648.4210"	"0.0003"	"648.4210"	""	"3.91e+06"		"1.72635573"	"3.6379217"	"7p"	"2P*"	"3/2"	"9d"	"2D"	"5/2"	4	6		"T6898"	"L12264"	
Fr	1	"649.103"	"0.002"	"649.1030"	""	"3.61e+03"		"2.012247"	"3.921805"	"6d"	"2D"	"3/2"	"14p"	"2P*"	"3/2"	4	4		"T6898"	"L12264"	
Fr	1	"649.4876"	"0.0003"	"649.4876"	""	"6.41e+05"		"1.72635573"	"3.6347824"	"7p"	"2P*"	"3/2"	"9d"	"2D"	"3/2"	4	4		"T6898"	"L12264"	
Fr	1	"650.181"	"0.002"	"650.1812"	""	"3.52e+04"		"2.012247"	"3.918638"	"6d"	"2D"	"3/2"	"14p"	"2P*"	"1/2"	4	2		"T6898"	"L12264"	
Fr	1	"650.7242"	"0.0003"	"650.7242"	""	"8.04e+06"		"1.51724535"	"3.4220453"	"7p"	"2P*"	"1/2"	"8d"	"2D"	"3/2"	2	4		"T6898"	"L12264"	
Fr	1	"657.633"	"0.002"	"657.633"	""	"3.06e+04"		"2.037016"	"3.921805"	"6d"	"2D"	"5/2"	"14p"	"2P*"	"3/2"	6	4		"T6898"	"L12264"	
Fr	1	"662.174"	"0.003"	"662.174"	""	"5.01e+03"		"2.012247"	"3.884110"	"6d"	"2D"	"3/2"	"13p"	"2P*"	"3/2"	4	4		"T6898"	"L12264"	
Fr	1	"663.746"	"0.003"	"663.746"	""	"5.00e+04"		"2.012247"	"3.879679"	"6d"	"2D"	"3/2"	"13p"	"2P*"	"1/2"	4	2		"T6898"	"L12264"	
Fr	1	"671.054"	"0.003"	"671.054"	""	"4.35e+04"		"2.037016"	"3.884110"	"6d"	"2D"	"5/2"	"13p"	"2P*"	"3/2"	6	4		"T6898"	"L12264"	
Fr	1	"681.787"	"0.003"	"681.787"	""	"7.49e+03"		"2.012247"	"3.830264"	"6d"	"2D"	"3/2"	"12p"	"2P*"	"3/2"	4	4		"T6898"	"L12264"	
Fr	1	"684.222"	"0.003"	"684.222"	""	"7.46e+04"		"2.012247"	"3.823794"	"6d"	"2D"	"3/2"	"12p"	"2P*"	"1/2"	4	2		"T6898"	"L12264"	
Fr	1	"691.204"	"0.003"	"691.204"	""	"6.50e+04"		"2.037016"	"3.830264"	"6d"	"2D"	"5/2"	"12p"	"2P*"	"3/2"	6	4		"T6898"	"L12264"	
Fr	1	"694.8987"	"0.0003"	"694.8987"	""	"1.90e+06"		"1.72635573"	"3.5100692"	"7p"	"2P*"	"3/2"	"10s"	"2S"	"1/2"	4	2		"T6898"	"L12264"	
Fr	1	"713.491"	"0.003"	"713.491"	""	"1.16e+04"		"2.012247"	"3.749481"	"6d"	"2D"	"3/2"	"11p"	"2P*"	"3/2"	4	4		"T6898"	"L12264"	
Fr	1	"717.616"	"0.003"	"717.615"	""	"1.15e+05"		"2.012247"	"3.739496"	"6d"	"2D"	"3/2"	"11p"	"2P*"	"1/2"	4	2		"T6898"	"L12264"	
