element	sp_num	obs_wl_air(nm)	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
W	1	"322.1914"	"322.1908"	"0.0008"	"60"	"1.61e+06"	B	"0.412313"	"4.259363"	"5d4.6s2"	"5D"	"2"	""	"*"	"3"	5	7		"T4976"	"L153"	
W	1	"322.3120"	"322.3117"	"0.0008"	"25"	"3.3e+05"	C	"0.412313"	"4.257920"	"5d4.6s2"	"5D"	"2"	""	"*"	"1"	5	3		"T6977"	"L153"	
W	2	"322.54683"	"322.54680"	"0.00021"	"6"	"2.43e+06"	B	"2.88074533"	"6.7235493"	""	""	"9/2"	"5d4.(5D).6p"	"6F*"	"11/2"	10	12		"T7162"	"L11762"	
W	2	"323.05843"	"323.05836"	"0.00014"	"8"	"1.64e+06"	B	"2.01284813"	"5.84956717"	""	""	"5/2"	""	""	"3/2"	6	4		"T7162"	"L11762"	
W	2	"323.08319"	"323.083224"	"0.000418"	"3"	"3.79e+05"	B	"1.66286851"	"5.49929234"	"5d3.6s2"	"4F"	"7/2"	""	""	"5/2"	8	6		"T7162"	"L11762"	
W	1	"323.2487"	"323.2484"	"0.0008"	"80"	"2.4e+06"	B	"0.771099"	"4.605562"	"5d4.6s2"	"5D"	"4"	""	"*"	"4"	9	9		"T4976"	"L153"	
W	2	"323.31466"	"323.314473"	"0.000314"	"4"	"3.66e+05"	B	"1.66561240"	"5.49929234"	""	""	"5/2"	""	""	"5/2"	6	6		"T7162"	"L11762"	
W	1	"323.5108"	"323.5107"	"0.0008"	"15"	"2.68e+05"	D	"0.598844"	"4.430198"	"5d4.6s2"	"5D"	"3"	""	"*"	"2"	7	5		"T4976"	"L153"	
W	1	"323.7087"	"323.7087"	"0.0008"	"80"	"1.11e+07"	B	"1.181329"	"5.010340"	"5d4.6s2"	"3P2"	"0"	""	"*"	"1"	1	3		"T6977"	"L153"	
W	2	"325.12679"	"325.125820"	"0.000317"	"7bl"	"6.15e+05"	B	"1.40114840"	"5.21347082"	"5d3.6s2"	"4F"	"5/2"	"5d4.(5D).6p"	"6F*"	"5/2"	6	6		"T7162"	"L11762"	
W	1	"325.966"	"325.9666"	"0.0009"	"60"	"1.3e+06"	B	"0.598844"	"4.401334"	"5d4.6s2"	"5D"	"3"	""	"*"	"3"	7	7		"T4976"	"L153"	
W	2	"326.85373"	"326.85374"	"0.00011"	"11"	"2.27e+06"	B	"1.85576387"	"5.64793303"	""	""	"5/2"	""	""	"3/2"	6	4		"T7162"	"L11762"	
W	2	"328.65601"	"328.656023"	"0.000076"	"21"	"1.51e+06"	B	"1.08006032"	"4.85143473"	"5d3.6s2"	"4F"	"3/2"	"5d4.(5D).6p"	"6F*"	"3/2"	4	4		"T7162"	"L11762"	
W	2	"329.97358"	"329.97359"	"0.00009"	"12"	"8.40e+05"	B	"1.09511870"	"4.85143473"	""	""	"1/2"	"5d4.(5D).6p"	"6F*"	"3/2"	2	4		"T7162"	"L11762"	
W	1	"330.0822"	"330.0820"	"0.0008"	"150"	"8.1e+06"	B	"0.598844"	"4.353926"	"5d4.6s2"	"5D"	"3"	""	"*"	"4"	7	9		"T4976"	"L153"	
