element	sp_num	obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Rh	1	"515.554"	"515.5537"	"60"	"9.8e+05"	C	"1.364576"	"3.768781"	"4d8.(3P).5s"	"a 4P"	"1/2"	"4d8.(3F).5p"	"z 4D*"	"3/2"	2	4		"T5181"	"L3475"	
Rh	1	"518.419"	"518.4194"	"35"	"1.6e+05"	D	"0.965989"	"3.356904"	"4d8.(3F).5s"	"a 2F"	"5/2"	"4d8.(3F).5p"	"z 4D*"	"7/2"	6	8		"T5181"	"L3475"	
Rh	1	"521.273"	"521.2734"	"19"	"5.9e+05"	D+	"1.483871"	"3.861696"	"4d8.(3P).5s"	"a 2P"	"3/2"	"4d8.(3F).5p"	"z 4D*"	"1/2"	4	2		"T5181"	"L3475"	
Rh	1	"529.214"	"529.2135"	"14"	"3.7e+05"	D	"1.577460"	"3.919609"	"4d7.5s2"	"b 4F"	"9/2"	"4d8.(3F).5p"	"z 2G*"	"9/2"	10	10		"T5181"	"L3475"	
Rh	1	"539.044"	"539.0433"	"95"	"1.0e+06"	D+	"1.278700"	"3.578139"	"4d8.(3P).5s"	"a 4P"	"3/2"	"4d8.(3F).5p"	"z 4D*"	"5/2"	4	6		"T5181"	"L3475"	
Rh	1	"542.472"	"542.4711"	"19"	"5.e+05"	E	"1.483871"	"3.768781"	"4d8.(3P).5s"	"a 2P"	"3/2"	"4d8.(3F).5p"	"z 4D*"	"3/2"	4	4		"T5181"	"L3475"	
Rh	1	"559.942"	"559.9419"	"160"	"1.3e+06"	E	"1.143286"	"3.356904"	"4d8.(3P).5s"	"a 4P"	"5/2"	"4d8.(3F).5p"	"z 4D*"	"7/2"	6	8		"T5181"	"L3475"	
Rh	1	"568.638"	"568.6361"	"40"	"5.e+05"	E	"1.676352"	"3.856126"	"4d8.(1D).5s"	"b 2D"	"5/2"	"4d8.(3F).5p"	"z 4G*"	"7/2"	6	8		"T5181"	"L3475"	
Rh	1	"580.691"	"580.6893"	"40"	"1.1e+06"	E	"1.833462"	"3.967992"	"4d7.5s2"	"b 4F"	"7/2"	"4d8.(3F).5p"	"z 2F*"	"7/2"	8	8		"T5181"	"L3475"	
Rh	1	"598.360"	"598.3575"	"130"	"2.1e+06"	D	"1.577460"	"3.648962"	"4d7.5s2"	"b 4F"	"9/2"	"4d8.(3F).5p"	"z 4F*"	"9/2"	10	10		"T5181"	"L3475"	
Rh	1	"631.953"	"631.9517"	"29"	"4.e+05"	E	"1.577460"	"3.538843"	"4d7.5s2"	"b 4F"	"9/2"	"4d8.(3F).5p"	"z 4G*"	"9/2"	10	10		"T5181"	"L3475"	
Rh	1	"696.567"	"696.5657"	"65"	"4.e+05"	E	"1.577460"	"3.356904"	"4d7.5s2"	"b 4F"	"9/2"	"4d8.(3F).5p"	"z 4D*"	"7/2"	10	8		"T5181"	"L3475"	
