element	sp_num	obs_wl_air(nm)	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Li	2	"330.628"	"330.6284"	"0.0010"	""	"2.5203e+07"	AAA	"69.648473"	"73.397350"	"1s.3p"	"1P*"	"1"	"1s.5s"	"1S"	"0"	3	1		"T8636c73"	"L3501"	
Li	1	""	"367.169"	"0.010"	""	"1.399e+06"	AA	"1.847818"	"5.22362"	"1s2.2p"	"2P*"	"1/2"	"1s2.9d"	"2D"	"3/2"	2	4		"T6835LS"	""	
Li	1	""	"367.174"	"0.010"	""	"2.797e+05"	AA	"1.847860"	"5.22362"	"1s2.2p"	"2P*"	"3/2"	"1s2.9d"	"2D"	"3/2"	4	4		"T6835LS"	""	
Li	1	""	"367.174"	"0.010"	""	"1.678e+06"	AA	"1.847860"	"5.22362"	"1s2.2p"	"2P*"	"3/2"	"1s2.9d"	"2D"	"5/2"	4	6		"T6835LS"	""	
Li	2	"368.432"	"368.4602"	"0.0010"	""	"3.0587e+07"	AAA	"68.780786"	"72.144756"	"1s.3s"	"3S"	"1"	"1s.4p"	"3P*"	"2"	3	5		"T8636c73"	"L3501"	
Li	2	""	"368.4700"	"0.0010"	""	"3.0580e+07"	AAA	"68.780786"	"72.144667"	"1s.3s"	"3S"	"1"	"1s.4p"	"3P*"	"1"	3	3		"T8636c73"	""	
Li	2	""	"368.4754"	"0.0010"	""	"3.0580e+07"	AAA	"68.780786"	"72.144617"	"1s.3s"	"3S"	"1"	"1s.4p"	"3P*"	"0"	3	1		"T8636c73"	""	
Li	1	"371.87"	"372.089"	"0.010"	"3*"	"2.011e+06"	AA	"1.847818"	"5.17898"	"1s2.2p"	"2P*"	"1/2"	"1s2.8d"	"2D"	"3/2"	2	4		"T6835LS"	"L7397"	
Li	1	"371.87"	"372.094"	"0.010"	"3*"	"2.413e+06"	AA	"1.847860"	"5.17898"	"1s2.2p"	"2P*"	"3/2"	"1s2.8d"	"2D"	"5/2"	4	6		"T6835LS"	"L7397"	
Li	1	"371.87"	"372.094"	"0.010"	"3*"	"4.023e+05"	AA	"1.847860"	"5.17898"	"1s2.2p"	"2P*"	"3/2"	"1s2.8d"	"2D"	"3/2"	4	4		"T6835LS"	"L7397"	
Li	1	""	"374.658"	"0.010"	""	"3.37e+05"	A	"1.847818"	"5.15614"	"1s2.2p"	"2P*"	"1/2"	"1s2.8s"	"2S"	"1/2"	2	2		"T5118LS"	""	
Li	1	""	"374.663"	"0.010"	""	"6.76e+05"	A	"1.847860"	"5.15614"	"1s2.2p"	"2P*"	"3/2"	"1s2.8s"	"2S"	"1/2"	4	2		"T5118LS"	""	
Li	1	"379.472"	"379.502"	"0.010"	"6*"	"3.041e+06"	AA	"1.847818"	"5.11391"	"1s2.2p"	"2P*"	"1/2"	"1s2.7d"	"2D"	"3/2"	2	4		"T6835LS"	"L7397"	
Li	1	"379.472"	"379.507"	"0.010"	"6*"	"3.649e+06"	AA	"1.847860"	"5.11391"	"1s2.2p"	"2P*"	"3/2"	"1s2.7d"	"2D"	"5/2"	4	6		"T6835LS"	"L7397"	
Li	1	"379.472"	"379.507"	"0.010"	"6*"	"6.082e+05"	AA	"1.847860"	"5.11391"	"1s2.2p"	"2P*"	"3/2"	"1s2.7d"	"2D"	"3/2"	4	4		"T6835LS"	"L7397"	
Li	1	""	"383.559"	"0.010"	""	"5.18e+05"	A	"1.847818"	"5.07937"	"1s2.2p"	"2P*"	"1/2"	"1s2.7s"	"2S"	"1/2"	2	2		"T5118LS"	""	
Li	1	""	"383.564"	"0.010"	""	"1.04e+06"	A	"1.847860"	"5.07937"	"1s2.2p"	"2P*"	"3/2"	"1s2.7s"	"2S"	"1/2"	4	2		"T5118LS"	""	
Li	2	""	"387.8838"	"0.0010"	""	"3.812e+01"	AA	"59.020815"	"62.216336"	"1s.2s"	"3S"	"1"	"1s.2p"	"1P*"	"1"	3	3		"T8636c73"	""	
Li	1	"391.530"	"391.5292"	"0.0010"	"20"	"4.964e+06"	AA	"1.847818"	"5.013587"	"1s2.2p"	"2P*"	"1/2"	"1s2.6d"	"2D"	"3/2"	2	4		"T6835LS"	"L7397"	
Li	1	"391.535"	"391.5342"	"0.0010"	"20*"	"5.959e+06"	AA	"1.847860"	"5.013589"	"1s2.2p"	"2P*"	"3/2"	"1s2.6d"	"2D"	"5/2"	4	6		"T6835LS"	"L7397"	
Li	1	"391.535"	"391.5344"	"0.0010"	"20*"	"9.924e+05"	AA	"1.847860"	"5.013587"	"1s2.2p"	"2P*"	"3/2"	"1s2.6d"	"2D"	"3/2"	4	4		"T6835LS"	"L7397"	
