element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
B	2	"322.208"	"0.005"	"322.206"	"0.005"	"45"	"3.0e+06"	D	"18.678180"	"22.52505"	"1s2.2s.3d"	"3D"	"3"	"1s2.2p.3s"	"3P*"	"2"	7	5		"u27,LS"	"L12120"	
B	2	"322.425"	"0.005"	"322.4265"	"0.0024"	"47"	"2.8e+06"	D	"18.678180"	"22.52242"	"1s2.2s.3d"	"3D"	"2"	"1s2.2p.3s"	"3P*"	"1"	5	3		"u27,LS"	"L12120"	
B	2	""	""	"322.426"	"0.003"	""	"9.1e+05"	D	"18.678180"	"22.52242"	"1s2.2s.3d"	"3D"	"1"	"1s2.2p.3s"	"3P*"	"1"	3	3		"u27,LS"	""	
B	2	"322.527"	"0.005"	"322.527"	"0.005"	"47"	"3.6e+06"	D	"18.678180"	"22.52122"	"1s2.2s.3d"	"3D"	"1"	"1s2.2p.3s"	"3P*"	"0"	3	1		"u27,LS"	"L12120"	
B	2	"330.244"	"0.003"	"330.242"	"0.003"	"52"	"3.53e+07"	C	"19.178635"	"22.93189"	"1s2.2s.3d"	"1D"	"2"	"1s2.2s.5f"	"1F*"	"3"	5	7		"u27"	"L12120"	
B	2	"332.3178"	"0.0010"	"332.3138"	"0.0010"	"780*"	"6.38e+07"	B	"17.852479"	"21.582342"	"1s2.2s.3p"	"3P*"	"0"	"1s2.2s.4d"	"3D"	"1"	1	3		"u27,LS"	"L12120"	
B	2	"332.3178"	"0.0010"	"332.3206"	"0.0010"	"780*"	"8.62e+07"	B	"17.852554"	"21.582342"	"1s2.2s.3p"	"3P*"	"1"	"1s2.2s.4d"	"3D"	"2"	3	5		"u27,LS"	"L12120"	
B	2	""	""	"332.3206"	"0.0017"	""	"4.78e+07"	C	"17.852554"	"21.582342"	"1s2.2s.3p"	"3P*"	"1"	"1s2.2s.4d"	"3D"	"1"	3	3		"u27,LS"	""	
B	2	"332.3597"	"0.0010"	"332.3598"	"0.0010"	"780"	"1.15e+08"	B	"17.852994"	"21.582342"	"1s2.2s.3p"	"3P*"	"2"	"1s2.2s.4d"	"3D"	"3"	5	7		"u27,LS"	"L12120"	
B	2	""	""	"332.3598"	"0.0012"	""	"2.87e+07"	C	"17.852994"	"21.582342"	"1s2.2s.3p"	"3P*"	"2"	"1s2.2s.4d"	"3D"	"2"	5	5		"u27,LS"	""	
B	2	""	""	"332.3598"	"0.0017"	""	"3.20e+06"	C	"17.852994"	"21.582342"	"1s2.2s.3p"	"3P*"	"2"	"1s2.2s.4d"	"3D"	"1"	5	3		"u27,LS"	""	
B	1	""	""	"336.433"	"0.005"	""	"1.4e+04"	D	"7.438240"	"11.12244"	"2s2.4d"	"2D"	"3/2"	"2s.2p.(3P*).3d"	"2D*"	"5/2"	4	6		"u27"	""	
B	1	""	""	"336.433"	"0.005"	""	"2.0e+05"	D	"7.438240"	"11.12244"	"2s2.4d"	"2D"	"5/2"	"2s.2p.(3P*).3d"	"2D*"	"5/2"	6	6		"u27"	""	
B	1	""	""	"336.471"	"0.005"	""	"2.0e+05"	D	"7.438240"	"11.12203"	"2s2.4d"	"2D"	"3/2"	"2s.2p.(3P*).3d"	"2D*"	"3/2"	4	4		"u27"	""	
B	1	""	""	"336.471"	"0.005"	""	"2.1e+04"	D	"7.438240"	"11.12203"	"2s2.4d"	"2D"	"5/2"	"2s.2p.(3P*).3d"	"2D*"	"3/2"	6	4		"u27"	""	
B	1	""	""	"343.799"	"0.005"	""	"1.43e+05"	C	"7.1646047"	"10.76987"	"2s2.4p"	"2P*"	"1/2"	"2s.2p.(3P*).3p"	"2P"	"3/2"	2	4		"u27"	""	
B	1	""	""	"343.806"	"0.005"	""	"7.1e+05"	C	"7.1646833"	"10.76987"	"2s2.4p"	"2P*"	"3/2"	"2s.2p.(3P*).3p"	"2P"	"3/2"	4	4		"u27"	""	
B	1	""	""	"343.861"	"0.005"	""	"5.73e+05"	C	"7.1646047"	"10.76922"	"2s2.4p"	"2P*"	"1/2"	"2s.2p.(3P*).3p"	"2P"	"1/2"	2	2		"u27"	""	
B	1	""	""	"343.869"	"0.005"	""	"2.87e+05"	C	"7.1646833"	"10.76922"	"2s2.4p"	"2P*"	"3/2"	"2s.2p.(3P*).3p"	"2P"	"1/2"	4	2		"u27"	""	
B	2	"345.13030"	"0.00002"	"345.130358"	"0.000024"	"7400"	"5.42e+07"	A	"9.100007"	"12.691366"	"1s2.2s.2p"	"1P*"	"1"	"1s2.2p2"	"1D"	"2"	3	5		"T7096"	"L12120"	
B	1	""	""	"348.915"	"0.022"	""	"9.72e-02"	B	"0.00000000"	"3.55240+x"	"2s2.2p"	"2P*"	"1/2"	"2s.2p2"	"4P"	"3/2"	2	4		"T7194"	""	
B	1	""	""	"348.972"	"0.023"	""	"1.48e-01"	B	"0.00000000"	"3.55183+x"	"2s2.2p"	"2P*"	"1/2"	"2s.2p2"	"4P"	"1/2"	2	2		"T7194"	""	
B	1	""	""	"349.024"	"0.022"	""	"3.21e+00"	B	"0.0018953"	"3.55319+x"	"2s2.2p"	"2P*"	"3/2"	"2s.2p2"	"4P"	"5/2"	4	6		"T7194"	""	
B	1	""	""	"349.101"	"0.022"	""	"5.18e-01"	B	"0.0018953"	"3.55240+x"	"2s2.2p"	"2P*"	"3/2"	"2s.2p2"	"4P"	"3/2"	4	4		"T7194"	""	
B	1	""	""	"349.158"	"0.022"	""	"8.50e-03"	B	"0.0018953"	"3.55183+x"	"2s2.2p"	"2P*"	"3/2"	"2s.2p2"	"4P"	"1/2"	4	2		"T7194"	""	
B	3	"356.717"	"0.003"	"356.7163"	"0.0022"	"80"	"2.60e+07"	A	"29.470829"	"32.94555"	"1s2.4s"	"2S"	"1/2"	"1s2.5p"	"2P*"	"3/2"	2	4		"T5118LS"	"L482"	
B	3	"356.743"	"0.003"	"356.7434"	"0.0022"	"160"	"2.59e+07"	A	"29.470829"	"32.94528"	"1s2.4s"	"2S"	"1/2"	"1s2.5p"	"2P*"	"1/2"	2	2		"T5118LS"	"L482"	
B	1	""	""	"367.232"	"0.006"	""	"8.2e+04"	D	"7.747215"	"11.12244"	"2s2.5d"	"2D"	"5/2"	"2s.2p.(3P*).3d"	"2D*"	"5/2"	6	6		"u27"	""	
B	1	""	""	"367.232"	"0.006"	""	"5.7e+03"	D	"7.747215"	"11.12244"	"2s2.5d"	"2D"	"3/2"	"2s.2p.(3P*).3d"	"2D*"	"5/2"	4	6		"u27"	""	
B	1	""	""	"367.277"	"0.006"	""	"7.7e+04"	D	"7.747215"	"11.12203"	"2s2.5d"	"2D"	"3/2"	"2s.2p.(3P*).3d"	"2D*"	"3/2"	4	4		"u27"	""	
B	1	""	""	"367.277"	"0.006"	""	"8.6e+03"	D	"7.747215"	"11.12203"	"2s2.5d"	"2D"	"5/2"	"2s.2p.(3P*).3d"	"2D*"	"3/2"	6	4		"u27"	""	
B	2	"369.23"	"0.05"	"369.177"	"0.008"	"30"	"1.2e+07"	C	"19.178635"	"22.53607"	"1s2.2s.3d"	"1D"	"2"	"1s2.2s.5p"	"1P*"	"1"	5	3		"u27"	"L12120"	
B	2	"378.841"	"0.010"	"378.849"	"0.010"	"190"	"1.70e+07"	C	"21.150629"	"24.42236"	"1s2.2s.4p"	"1P*"	"1"	"1s2.2p.3p"	"1D"	"2"	3	5		"u27"	"L12120"	
B	2	""	""	"391.482"	"0.009"	""	"4.0e+02"	C	"9.100007"	"12.266161"	"1s2.2s.2p"	"1P*"	"1"	"1s2.2p2"	"3P"	"2"	3	5		"T7096"	""	
B	2	""	""	"391.687"	"0.009"	""	"1.7e+00"	D	"9.100007"	"12.264501"	"1s2.2s.2p"	"1P*"	"1"	"1s2.2p2"	"3P"	"1"	3	3		"T7096"	""	
B	2	""	""	"391.817"	"0.009"	""	"4.07e+01"	C	"9.100007"	"12.263448"	"1s2.2s.2p"	"1P*"	"1"	"1s2.2p2"	"3P"	"0"	3	1		"T7096"	""	
B	2	"412.1933"	"0.0010"	"412.1928"	"0.0010"	"1500*"	"1.98e+08"	B	"18.678180"	"21.685249"	"1s2.2s.3d"	"3D"	"1"	"1s2.2s.4f"	"3F*"	"2"	3	5		"u27,LS"	"L12120"	
B	2	"412.1933"	"0.0010"	"412.1928"	"0.0010"	"1500*"	"1.03e+06"	C	"18.678180"	"21.685249"	"1s2.2s.3d"	"3D"	"3"	"1s2.2s.4f"	"3F*"	"2"	7	5		"u27,LS"	"L12120"	
B	2	"412.1933"	"0.0010"	"412.1928"	"0.0010"	"1500*"	"3.7e+07"	C	"18.678180"	"21.685249"	"1s2.2s.3d"	"3D"	"2"	"1s2.2s.4f"	"3F*"	"2"	5	5		"u27,LS"	"L12120"	
B	2	"412.1933"	"0.0010"	"412.1928"	"0.0010"	"1500*"	"2.6e+07"	C	"18.678180"	"21.685249"	"1s2.2s.3d"	"3D"	"3"	"1s2.2s.4f"	"3F*"	"3"	7	7		"u27,LS"	"L12120"	
B	2	"412.1933"	"0.0010"	"412.1928"	"0.0010"	"1500*"	"2.09e+08"	B	"18.678180"	"21.685249"	"1s2.2s.3d"	"3D"	"2"	"1s2.2s.4f"	"3F*"	"3"	5	7		"u27,LS"	"L12120"	
B	2	"412.1933"	"0.0010"	"412.1928"	"0.0010"	"1500*"	"2.36e+08"	B	"18.678180"	"21.685249"	"1s2.2s.3d"	"3D"	"3"	"1s2.2s.4f"	"3F*"	"4"	7	9		"u27,LS"	"L12120"	
B	2	""	""	"415.284"	"0.005"	""	"4.1e+04"	D	"21.268988"	"24.25367"	"1s2.2s.4p"	"3P*"	"1"	"1s2.2p.3p"	"3P"	"2"	3	5		"u27,LS"	""	
B	2	""	""	"415.284"	"0.004"	""	"1.2e+05"	D	"21.268988"	"24.25367"	"1s2.2s.4p"	"3P*"	"2"	"1s2.2p.3p"	"3P"	"2"	5	5		"u27,LS"	""	
B	2	""	""	"415.471"	"0.005"	""	"4.0e+04"	D	"21.268988"	"24.25233"	"1s2.2s.4p"	"3P*"	"1"	"1s2.2p.3p"	"3P"	"1"	3	3		"u27,LS"	""	
B	2	""	""	"415.471"	"0.004"	""	"6.8e+04"	D	"21.268988"	"24.25233"	"1s2.2s.4p"	"3P*"	"2"	"1s2.2p.3p"	"3P"	"1"	5	3		"u27,LS"	""	
