element	sp_num	obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
S	2	"424.9873"	"424.9877"	"10"	"7.78e+06"	E	"17.445679"	"20.362218"	"3s2.3p2.(1D).4p"	"2D*"	"5/2"	"3s2.3p2.(1D).4d"	"2F"	"5/2"	6	6		"u20,LS"	"L5883"	
S	3	"425.3473"	"425.3499"	"19"	"6.74e+07"	B+	"18.243916"	"21.157972"	"3s2.3p.4s"	"3P*"	"2"	"3s2.3p.4p"	"3D"	"3"	5	7		"T7942c84"	"L11011"	
S	2	"425.501"	"425.4940"	"3"	"2.2e+06"	E	"15.944264"	"18.857332"	"3s2.3p2.(3P).4p"	"4D*"	"7/2"	"3s2.3p2.(3P).4d"	"4F"	"5/2"	8	6		"T1619CA,LS"	"L7426"	
S	2	"425.7379"	"425.7379"	"17"	"1.08e+08"	D	"17.450818"	"20.362218"	"3s2.3p2.(1D).4p"	"2D*"	"3/2"	"3s2.3p2.(1D).4d"	"2F"	"5/2"	4	6		"u20,LS"	"L5883"	
S	2	"425.9146"	"425.9146"	"16"	"1.5e+08"	D	"17.445679"	"20.355871"	"3s2.3p2.(1D).4p"	"2D*"	"5/2"	"3s2.3p2.(1D).4d"	"2G"	"7/2"	6	8		"T1619CA,LS"	"L5883"	
S	4	"426.0458"	"426.0467"	"7"	"1.04e+08"	D+	"35.37220"	"38.28149"	"3s2.5p"	"2P*"	"3/2"	"3s.3p.(3P*).4p"	"2S"	"1/2"	4	2		"T6527c4,LS"	"u24"	
S	2	"426.7759"	"426.7762"	"21"	"1.2e+08"	E	"16.100362"	"19.004679"	"3s2.3p2.(3P).4p"	"4P*"	"3/2"	"3s2.3p2.(3P).4d"	"4D"	"5/2"	4	6		"T1619CA,LS"	"L5883"	
S	2	"426.9724"	"426.9725"	"18"	"7.0e+07"	E	"16.091640"	"18.994621"	"3s2.3p2.(3P).4p"	"4P*"	"1/2"	"3s2.3p2.(3P).4d"	"4D"	"3/2"	2	4		"T1619CA,LS"	"L5883"	
S	2	"427.8500"	"427.8506"	"18"	"1.4e+08"	E	"16.091640"	"18.988664"	"3s2.3p2.(3P).4p"	"4P*"	"1/2"	"3s2.3p2.(3P).4d"	"4D"	"1/2"	2	2		"T1619CA,LS"	"L5883"	
S	2	"428.2595"	"428.2593"	"18"	"8.9e+07"	E	"16.100362"	"18.994621"	"3s2.3p2.(3P).4p"	"4P*"	"3/2"	"3s2.3p2.(3P).4d"	"4D"	"3/2"	4	4		"T1619CA,LS"	"L5883"	
S	3	"428.4885"	"428.4904"	"17"	"4.24e+07"	B+	"18.193138"	"21.085835"	"3s2.3p.4s"	"3P*"	"1"	"3s2.3p.4p"	"3D"	"2"	3	5		"T7942c84"	"L11011"	
S	2	"429.1432"	"429.1427"	"14"	"2.8e+07"	E	"16.100362"	"18.988664"	"3s2.3p2.(3P).4p"	"4P*"	"3/2"	"3s2.3p2.(3P).4d"	"4D"	"1/2"	4	2		"T1619CA,LS"	"L5883"	
S	4	""	"429.41+"	""	"2.95e+05"	D	"31.66504"	"34.55153"	"3s2.4d"	"2D"	"3/2"	"3s.3p.(1P*).3d"	"2P*"	"1/2"	4	2		"T7262"	""	
S	2	"429.4398"	"429.4402"	"22"	"1.7e+08"	D	"16.134580"	"19.020880"	"3s2.3p2.(3P).4p"	"4P*"	"5/2"	"3s2.3p2.(3P).4d"	"4D"	"7/2"	6	8		"T1619CA,LS"	"L5883"	
S	4	""	"430.05+"	""	"3.31e+04"	E	"31.66504"	"34.54725"	"3s2.4d"	"2D"	"3/2"	"3s.3p.(1P*).3d"	"2P*"	"3/2"	4	4		"T7262"	""	
S	4	""	"430.13+"	""	"3.01e+05"	D	"31.66560"	"34.54725"	"3s2.4d"	"2D"	"5/2"	"3s.3p.(1P*).3d"	"2P*"	"3/2"	6	4		"T7262"	""	
S	2	"431.8645"	"431.8643"	"18"	"4.9e+07"	E	"16.134580"	"19.004679"	"3s2.3p2.(3P).4p"	"4P*"	"5/2"	"3s2.3p2.(3P).4d"	"4D"	"5/2"	6	6		"T1619CA,LS"	"L5883"	
S	3	"433.2644"	"433.2653"	"15"	"3.23e+07"	B+	"18.188156"	"21.048975"	"3s2.3p.4s"	"3P*"	"0"	"3s2.3p.4p"	"3D"	"1"	1	3		"T7942c84"	"L11011"	
S	2	"433.3828"	"433.3830"	"13"	"8.2e+06"	E	"16.134580"	"18.994621"	"3s2.3p2.(3P).4p"	"4P*"	"5/2"	"3s2.3p2.(3P).4d"	"4D"	"3/2"	6	4		"T1619CA,LS"	"L5883"	
