element	sp_num	obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Si	1	"221.667"	"221.6669"	"120"	"4.54e+07"	B	"0.0276679"	"5.6191930"	"3s2.3p2"	"3P"	"2"	"3s.3p3"	"3D*"	"3"	5	7		"T5814"	"L3521"	
Si	1	"221.806"	"221.8057"	"120"	"1.09e+07"	B	"0.0276679"	"5.6156943"	"3s2.3p2"	"3P"	"2"	"3s.3p3"	"3D*"	"2"	5	5		"T5814"	"L3521"	
Si	3	""	"221.890"	""	"4.22e+06"	E	"25.978583"	"31.56449"	"3s.4f"	"3F*"	"2"	"3s.8g"	"3G"	"3"	5	7		"T6298c4,LS"	""	
Si	1	"221.891"	"221.8916"	"50"	"1.05e+06"	C+	"0.0276679"	"5.6135319"	"3s2.3p2"	"3P"	"2"	"3s.3p3"	"3D*"	"1"	5	3		"T5814"	"L3521"	
Si	3	""	"222.027"	""	"3.68e+05"	E	"25.982046"	"31.56449"	"3s.4f"	"3F*"	"3"	"3s.8g"	"3G"	"3"	7	7		"T6298c4,LS"	""	
Si	3	""	"222.027"	""	"4.29e+06"	E	"25.982046"	"31.56449"	"3s.4f"	"3F*"	"3"	"3s.8g"	"3G"	"4"	7	9		"T6298c4,LS"	""	
Si	3	""	"222.2031"	""	"6.50e+07"	C	"25.395443"	"30.973477"	"3s.4f"	"1F*"	"3"	"3s.7g"	"1G"	"4"	7	9		"T6298c4"	""	
Si	3	""	"222.2220"	""	"4.57e+06"	D	"25.987051"	"31.564610"	"3s.4f"	"3F*"	"4"	"3s.8g"	"3G"	"5"	9	11		"T6298c4,LS"	""	
Si	3	""	"222.227"	""	"5.59e+03"	E	"25.987051"	"31.56449"	"3s.4f"	"3F*"	"4"	"3s.8g"	"3G"	"3"	9	7		"T6298c4,LS"	""	
Si	3	""	"222.227"	""	"2.86e+05"	E	"25.987051"	"31.56449"	"3s.4f"	"3F*"	"4"	"3s.8g"	"3G"	"4"	9	9		"T6298c4,LS"	""	
Si	2	""	"222.5248"	""	"2.44e+07"	C	"9.505292"	"15.075262"	"3s.3p2"	"2S"	"1/2"	"3s.3p.(3P*).4s"	"2P*"	"3/2"	2	4		"T6868"	""	
Si	13	""	"222.63"	""	"3.39e+08"	A	"[2409.0014]"	"[2414.5688]"	"1s.9s"	"3S"	"1"	"1s.10p"	"3P*"	"2"	3	5		"T5231c4,LS"	""	
Si	13	""	"222.91"	""	"3.38e+08"	A	"[2409.0014]"	"[2414.5618]"	"1s.9s"	"3S"	"1"	"1s.10p"	"3P*"	"1"	3	3		"T5231c4,LS"	""	
Si	13	""	"222.99"	""	"3.37e+08"	A	"[2409.0014]"	"[2414.5599]"	"1s.9s"	"3S"	"1"	"1s.10p"	"3P*"	"0"	3	1		"T5231c4,LS"	""	
Si	2	""	"223.2507"	""	"2.41e+07"	D+	"9.505292"	"15.057152"	"3s.3p2"	"2S"	"1/2"	"3s.3p.(3P*).4s"	"2P*"	"1/2"	2	2		"T6868"	""	
Si	3	""	"224.9199"	""	"8.70e+07"	C	"26.598599"	"32.109262"	"3s.5p"	"1P*"	"1"	"3p.4p"	"1S"	"0"	3	1		"T6298c4"	""	
Si	11	""	"225.21"	""	"1.35e+07"	C+	"311.495"	"316.999"	"1s2.2p.3p"	"3P"	"2"	"1s2.2p.3d"	"3P*"	"2"	5	5		"T5633c4,LS"	""	
Si	13	""	"225.29"	""	"3.43e+08"	A	"[2409.1387]"	"[2414.6402]"	"1s.9s"	"1S"	"0"	"1s.10p"	"1P*"	"1"	1	3		"T5231c4"	""	
Si	10	""	"226.07"	""	"1.15e+07"	B	"261.639"	"267.121"	"2s.2p.(3P*).3p"	"2D"	"5/2"	"2s.2p.(3P*).3d"	"2D*"	"5/2"	6	6		"T7192c4,LS"	""	
Si	6	""	"226.97"	""	"1.69e+05"	D+	"142.6168"	"148.0777"	"2s2.2p4.(1D).3p"	"2P*"	"1/2"	"2s2.2p4.(3P).3d"	"4F"	"3/2"	2	4		"c44"	""	
Si	1	""	"227.8280"	""	"3.56e+06"	D	"1.9086586"	"7.3489867"	"3s2.3p2"	"1S"	"0"	"3s2.3p.(2P*<1/2>).6s<1/2>"	"(1/2,1/2)*"	"1"	1	3		"T5071"	""	
Si	4	"228.704"	"228.7050"	"5w*"	"4.27e+07"	A	"30.997044"	"36.416514"	"2p6.4d"	"2D"	"5/2"	"2p6.5f"	"2F*"	"5/2"	6	6		"c33"	"L6098"	
Si	4	"228.704"	"228.7050"	"5w*"	"6.41e+08"	A	"30.997044"	"36.416514"	"2p6.4d"	"2D"	"5/2"	"2p6.5f"	"2F*"	"7/2"	6	8		"c33"	"L6098"	
Si	4	"228.704"	"228.7056"	"5w*"	"5.98e+08"	A	"30.997059"	"36.416514"	"2p6.4d"	"2D"	"3/2"	"2p6.5f"	"2F*"	"5/2"	4	6		"c33"	"L6098"	
Si	3	"229.548"	"229.5477"	"6"	"6.69e+07"	C+	"24.663327"	"30.062902"	"3p.3d"	"3F*"	"2"	"3s.6g"	"3G"	"3"	5	7		"T6298c4,LS"	"L4833"	
Si	3	"230.093"	"230.0937"	"8"	"5.80e+06"	C	"24.676140"	"30.062902"	"3p.3d"	"3F*"	"3"	"3s.6g"	"3G"	"3"	7	7		"T6298c4,LS"	"L4833"	
Si	10	""	"230.13"	""	"1.16e+06"	C	"261.639"	"267.02"	"2s.2p.(3P*).3p"	"2D"	"5/2"	"2s.2p.(3P*).3d"	"2D*"	"3/2"	6	4		"T7192c4,LS"	""	
Si	1	"230.306"	"230.3058"	"55"	"3.48e+08"	C+	"1.9086586"	"7.2904604"	"3s2.3p2"	"1S"	"0"	"3s2.3p.4d"	"1P*"	"1"	1	3		"T5071"	"L3521"	
Si	3	""	"230.6331"	""	"1.60e+05"	E	"24.994933"	"30.369100"	"3s.4d"	"3D"	"1"	"3s.7p"	"3P*"	"2"	3	5		"T6298c4,LS"	""	
Si	3	""	"230.6360"	""	"2.41e+06"	E	"24.995001"	"30.369100"	"3s.4d"	"3D"	"2"	"3s.7p"	"3P*"	"2"	5	5		"T6298c4,LS"	""	
Si	3	""	"230.6424"	""	"1.35e+07"	D	"24.995150"	"30.369100"	"3s.4d"	"3D"	"3"	"3s.7p"	"3P*"	"2"	7	5		"T6298c4,LS"	""	
Si	3	""	"230.6860"	""	"4.00e+06"	E	"24.994933"	"30.367866"	"3s.4d"	"3D"	"1"	"3s.7p"	"3P*"	"1"	3	3		"T6298c4,LS"	""	
Si	3	""	"230.6889"	""	"1.20e+07"	D	"24.995001"	"30.367866"	"3s.4d"	"3D"	"2"	"3s.7p"	"3P*"	"1"	5	3		"T6298c4,LS"	""	
Si	3	""	"230.7107"	""	"1.60e+07"	E	"24.994933"	"30.367291"	"3s.4d"	"3D"	"1"	"3s.7p"	"3P*"	"0"	3	1		"T6298c4,LS"	""	
Si	3	"230.819"	"230.8188"	"10"	"7.16e+07"	B	"24.693201"	"30.063045"	"3p.3d"	"3F*"	"4"	"3s.6g"	"3G"	"5"	9	11		"T6298c4,LS"	"L4833"	
Si	3	""	"230.8238"	""	"4.48e+06"	C	"24.693201"	"30.062927"	"3p.3d"	"3F*"	"4"	"3s.6g"	"3G"	"4"	9	9		"T6298c4,LS"	""	
Si	3	""	"230.8249"	""	"8.77e+04"	E	"24.693201"	"30.062902"	"3p.3d"	"3F*"	"4"	"3s.6g"	"3G"	"3"	9	7		"T6298c4,LS"	""	
Si	2	""	"230.853"	""	"4.02e+06"	E	"10.066443"	"15.43550"	"3s2.4p"	"2P*"	"1/2"	"3s2.8d"	"2D"	"3/2"	2	4		"T6527c4,LS"	""	
Si	2	""	"231.173"	""	"7.65e+06"	E	"10.073880"	"15.43550"	"3s2.4p"	"2P*"	"3/2"	"3s2.8d"	"2D"	"3/2"	4	4		"T7166"	""	
Si	2	""	"231.173"	""	"5.01e+07"	D+	"10.073880"	"15.43550"	"3s2.4p"	"2P*"	"3/2"	"3s2.8d"	"2D"	"5/2"	4	6		"T7166"	""	
Si	11	""	"231.25"	""	"4.02e+07"	B+	"277.949"	"283.309"	"1s2.2s.3s"	"1S"	"0"	"1s2.2s.3p"	"1P*"	"1"	1	3		"T7333c7"	""	
Si	3	""	"231.9079"	""	"4.32e+06"	D+	"25.395443"	"30.740071"	"3s.4f"	"1F*"	"3"	"3p.4p"	"1D"	"2"	7	5		"T6298c4"	""	
Si	2	""	"232.8517"	""	"2.35e+01"	E	"0.000000"	"5.322966"	"3s2.3p"	"2P*"	"1/2"	"3s.3p2"	"4P"	"3/2"	2	4		"c22,T6215,T5958"	""	
Si	13	""	"232.91"	""	"8.03e+07"	A	"[2409.1384]"	"[2414.4601]"	"1s.9p"	"3P*"	"0"	"1s.10s"	"3S"	"1"	1	3		"T5231c4,LS"	""	
Si	3	""	"232.9945"	""	"3.16e+07"	C	"25.420367"	"30.740071"	"3p.3d"	"1D*"	"2"	"3p.4p"	"1D"	"2"	5	5		"T6298c4"	""	
Si	13	""	"233.02"	""	"2.41e+08"	A	"[2409.1411]"	"[2414.4601]"	"1s.9p"	"3P*"	"1"	"1s.10s"	"3S"	"1"	3	3		"T5231c4,LS"	""	
Si	13	""	"233.37"	""	"6.90e+08"	A	"[2409.2488]"	"[2414.560]"	"1s.9p"	"1P*"	"1"	"1s.10s"	"1S"	"0"	3	1		"T5231c4"	""	
Si	2	"233.440"	"233.4407"	"30"	"5.51e+03"	D+	"0.000000"	"5.309535"	"3s2.3p"	"2P*"	"1/2"	"3s.3p2"	"4P"	"1/2"	2	2		"c22,T6215,T5958"	"L3541"	
Si	13	""	"233.45"	""	"3.98e+08"	A	"[2409.1507]"	"[2414.4601]"	"1s.9p"	"3P*"	"2"	"1s.10s"	"3S"	"1"	5	3		"T5231c4,LS"	""	
Si	2	"233.461"	"233.4605"	"30"	"2.44e+03"	D+	"0.035613"	"5.344700"	"3s2.3p"	"2P*"	"3/2"	"3s.3p2"	"4P"	"5/2"	4	6		"c22,T6215,T5958"	"L3541"	
Si	2	"234.420"	"234.4202"	"10"	"1.31e+03"	D	"0.035613"	"5.322966"	"3s2.3p"	"2P*"	"3/2"	"3s.3p2"	"4P"	"3/2"	4	4		"c22,T6215,T5958"	"L3541"	
Si	2	"235.017"	"235.0172"	"20"	"4.70e+03"	D+	"0.035613"	"5.309535"	"3s2.3p"	"2P*"	"3/2"	"3s.3p2"	"4P"	"1/2"	4	2		"c22,T6215,T5958"	"L3541"	
Si	4	""	"236.1526"	""	"5.31e+06"	B	"36.416514"	"41.665082"	"2p6.5f"	"2F*"	"7/2"	"2p6.8d"	"2D"	"5/2"	8	6		"c33"	""	
