element	sp_num	obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Lu	1	"317.136"	"317.1366+"	"2400"	"6.6e+07"	B+	"0.000000"	"3.908358"	"5d.6s2"	"2D"	"3/2"	"5d.6s.(1D).6p"	"2P*"	"3/2"	4	4		"T7218"	"L3475"	
Lu	2	"325.431"	"325.4312+"	"4800"	"6.0e+07"		"1.760462"	"5.569207"	"5d.6s"	"3D"	"3"	"5d.6p"	"3F*"	"3"	7	7		"T7101"	"L3475"	
Lu	1	"327.897"	"327.8967+"	"3800"	"1.00e+08"	B+	"0.000000"	"3.780107"	"5d.6s2"	"2D"	"3/2"	"6s2.7p"	"2P*"	"3/2"	4	4		"T7218"	"L3475"	
Lu	1	"328.174"	"328.1749+"	"7600"	"3.05e+08"	B+	"0.247215"	"4.024118"	"5d.6s2"	"2D"	"5/2"	"5d.6s.(1D).6p"	"2D*"	"5/2"	6	6		"T7218"	"L3475"	
Lu	1	"331.211"	"331.2110+"	"6200"	"1.85e+08"	B+	"0.000000"	"3.742283"	"5d.6s2"	"2D"	"3/2"	"5d.6s.(3D).6p"	"2F*"	"5/2"	4	6		"T7218"	"L3475"	
Lu	1	"335.956"	"335.9560+"	"7600"	"2.44e+08"	B+	"0.247215"	"3.936643"	"5d.6s2"	"2D"	"5/2"	"5d.6s.(3D).6p"	"2F*"	"7/2"	6	8		"T7218"	"L3475"	
Lu	1	"337.650"	"337.6495+"	"6200"	"1.68e+08"	B+	"0.000000"	"3.670925"	"5d.6s2"	"2D"	"3/2"	"5d.6s.(1D).6p"	"2D*"	"3/2"	4	4		"T7218"	"L3475"	
Lu	1	"338.550"	"338.5517+"	"950"	"5.0e+07"	B+	"0.247215"	"3.908358"	"5d.6s2"	"2D"	"5/2"	"5d.6s.(1D).6p"	"2P*"	"3/2"	6	4		"T7218"	"L3475"	
Lu	1	"339.682"	"339.6797+"	"1400"	"1.03e+08"	B+	"0.000000"	"3.648985"	"5d.6s2"	"2D"	"3/2"	"6s2.7p"	"2P*"	"1/2"	4	2		"T7218"	"L3475"	
Lu	2	"350.739"	"350.7380+"	"8300c"	"1.25e+07"		"0.000000"	"3.533941"	"6s2"	"1S"	"0"	"6s.6p"	"3P*"	"1"	1	3		"T7227"	"L3475"	
Lu	1	"350.842"	"350.8421+"	"1600"	"6.5e+07"	B+	"0.247215"	"3.780107"	"5d.6s2"	"2D"	"5/2"	"6s2.7p"	"2P*"	"3/2"	6	4		"T7218"	"L3475"	
