element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
F	6	""	""	"348.25"	""	"1.44e+07"	B	"108.1246"	"111.6839"	"1s2.2p.3s"	"3P*"	"2"	"1s2.2p.3p"	"3D"	"2"	5	5		"T5633c91,LS"	""	
F	2	"350.139"	"0.010"	"350.1390"	"190"	"2.86e+08"	C	"25.100520"	"28.640507"	"2s2.2p3.(4S*).3p"	"5P"	"1"	"2s2.2p3.(4S*).3d"	"5D*"	"0"	3	1		"T1115CA,LS"	"L369"	
F	2	"350.145"	"0.010"	"350.1449"	"200"	"2.15e+08"	C	"25.100520"	"28.640448"	"2s2.2p3.(4S*).3p"	"5P"	"1"	"2s2.2p3.(4S*).3d"	"5D*"	"1"	3	3		"T1115CA,LS"	"L369"	
F	2	"350.157"	"0.010"	"350.1572"	"200"	"1.00e+08"	C	"25.100520"	"28.640323"	"2s2.2p3.(4S*).3p"	"5P"	"1"	"2s2.2p3.(4S*).3d"	"5D*"	"2"	3	5		"T1115CA,LS"	"L369"	
F	2	"350.284"	"0.010"	"350.2840"	"180"	"7.2e+07"	C	"25.101926"	"28.640448"	"2s2.2p3.(4S*).3p"	"5P"	"2"	"2s2.2p3.(4S*).3d"	"5D*"	"1"	5	3		"T1115CA,LS"	"L369"	
F	2	"350.296"	"0.010"	"350.2964"	"200"	"1.67e+08"	C	"25.101926"	"28.640323"	"2s2.2p3.(4S*).3p"	"5P"	"2"	"2s2.2p3.(4S*).3d"	"5D*"	"2"	5	5		"T1115CA,LS"	"L369"	
F	2	"350.311"	"0.010"	"350.3109"	"210"	"1.91e+08"	C	"25.101926"	"28.640176"	"2s2.2p3.(4S*).3p"	"5P"	"2"	"2s2.2p3.(4S*).3d"	"5D*"	"3"	5	7		"T1115CA,LS"	"L369"	
F	2	"350.537"	"0.010"	"350.5368"	"170"	"1.90e+07"	C	"25.104353"	"28.640323"	"2s2.2p3.(4S*).3p"	"5P"	"3"	"2s2.2p3.(4S*).3d"	"5D*"	"2"	7	5		"T1115CA,LS"	"L369"	
F	2	"350.552"	"0.010"	"350.5513"	"200"	"9.5e+07"	C	"25.104353"	"28.640176"	"2s2.2p3.(4S*).3p"	"5P"	"3"	"2s2.2p3.(4S*).3d"	"5D*"	"3"	7	7		"T1115CA,LS"	"L369"	
F	2	"350.563"	"0.010"	"350.5628"	"220"	"2.86e+08"	C	"25.104353"	"28.640060"	"2s2.2p3.(4S*).3p"	"5P"	"3"	"2s2.2p3.(4S*).3d"	"5D*"	"4"	7	9		"T1115CA,LS"	"L369"	
F	6	""	""	"352.61"	""	"1.54e+06"	B	"108.1246"	"111.6398"	"1s2.2p.3s"	"3P*"	"2"	"1s2.2p.3p"	"3D"	"1"	5	3		"T5633c91,LS"	""	
F	2	""	""	"353.5188"	""	"2.1e+08"	D	"26.272284"	"29.778428"	"2s2.2p3.(2D*).3s"	"3D*"	"1"	"2s2.2p3.(2D*).3p"	"3P"	"0"	3	1		"T1115CA,LS"	""	
F	2	"353.687"	"0.010"	"353.6869"	"150"	"1.5e+08"	D	"26.270663"	"29.775141"	"2s2.2p3.(2D*).3s"	"3D*"	"2"	"2s2.2p3.(2D*).3p"	"3P"	"1"	5	3		"T1115CA,LS"	"L369"	
F	2	""	""	"353.8505"	""	"5.1e+07"	D	"26.272284"	"29.775141"	"2s2.2p3.(2D*).3s"	"3D*"	"1"	"2s2.2p3.(2D*).3p"	"3P"	"1"	3	3		"T1115CA,LS"	""	
F	2	"354.177"	"0.010"	"354.1768"	"160"	"1.7e+08"	D	"26.268052"	"29.767682"	"2s2.2p3.(2D*).3s"	"3D*"	"3"	"2s2.2p3.(2D*).3p"	"3P"	"2"	7	5		"T1115CA,LS"	"L369"	
F	2	""	""	"354.4413"	""	"3.1e+07"	D	"26.270663"	"29.767682"	"2s2.2p3.(2D*).3s"	"3D*"	"2"	"2s2.2p3.(2D*).3p"	"3P"	"2"	5	5		"T1115CA,LS"	""	
F	2	""	""	"354.6056"	""	"2.1e+06"	D	"26.272284"	"29.767682"	"2s2.2p3.(2D*).3s"	"3D*"	"1"	"2s2.2p3.(2D*).3p"	"3P"	"2"	3	5		"T1115CA,LS"	""	
F	5	""	""	"355.62"	""	"1.03e+07"	B	"106.0029"	"109.4883"	"2p2.(1D).3p"	"2D*"	"5/2"	"2p2.(1D).3d"	"2P"	"3/2"	6	4		"T7192c91,LS"	""	
F	5	""	""	"355.62"	""	"1.14e+06"	B	"106.0029"	"109.4883"	"2p2.(1D).3p"	"2D*"	"3/2"	"2p2.(1D).3d"	"2P"	"3/2"	4	4		"T7192c91,LS"	""	
F	7	""	""	"356.11"	""	"7.14e+07"	A	"171.1943"	"174.6749"	"1s2.7s"	"2S"	"1/2"	"1s2.8p"	"2P*"	"1/2"	2	2		"T7495"	""	
F	7	""	""	"356.11"	""	"7.08e+07"	A	"171.1943"	"174.6749"	"1s2.7s"	"2S"	"1/2"	"1s2.8p"	"2P*"	"3/2"	2	4		"T7495"	""	
F	5	""	""	"357.56"	""	"1.12e+07"	B	"106.0029"	"109.4694"	"2p2.(1D).3p"	"2D*"	"3/2"	"2p2.(1D).3d"	"2P"	"1/2"	4	2		"T7192c91,LS"	""	
F	2	""	""	"364.0884"	""	"1.37e+07"	C	"29.447196"	"32.851557"	"2s2.2p3.(2D*).3p"	"3F"	"4"	"2s2.2p3.(2D*).3d"	"3F*"	"4"	9	9		"T1115CA,LS"	""	
F	2	""	""	"364.0961"	""	"9.2e+05"	C	"29.447268"	"32.851557"	"2s2.2p3.(2D*).3p"	"3F"	"3"	"2s2.2p3.(2D*).3d"	"3F*"	"4"	7	9		"T1115CA,LS"	""	
F	2	""	""	"364.1864"	""	"1.18e+06"	C	"29.447196"	"32.850641"	"2s2.2p3.(2D*).3p"	"3F"	"4"	"2s2.2p3.(2D*).3d"	"3F*"	"3"	9	7		"T1115CA,LS"	""	
F	2	""	""	"364.1941"	""	"1.23e+07"	C	"29.447268"	"32.850641"	"2s2.2p3.(2D*).3p"	"3F"	"3"	"2s2.2p3.(2D*).3d"	"3F*"	"3"	7	7		"T1115CA,LS"	""	
F	2	""	""	"364.2033"	""	"1.16e+06"	C	"29.447353"	"32.850641"	"2s2.2p3.(2D*).3p"	"3F"	"2"	"2s2.2p3.(2D*).3d"	"3F*"	"3"	5	7		"T1115CA,LS"	""	
F	2	""	""	"364.2685"	""	"1.63e+06"	C	"29.447268"	"32.849947"	"2s2.2p3.(2D*).3p"	"3F"	"3"	"2s2.2p3.(2D*).3d"	"3F*"	"2"	7	5		"T1115CA,LS"	""	
F	2	""	""	"364.2776"	""	"1.30e+07"	C	"29.447353"	"32.849947"	"2s2.2p3.(2D*).3p"	"3F"	"2"	"2s2.2p3.(2D*).3d"	"3F*"	"2"	5	5		"T1115CA,LS"	""	
F	7	""	""	"374.27"	""	"2.82e+07"	A	"171.4525"	"174.7643"	"1s2.7p"	"2P*"	"3/2"	"1s2.8d"	"2D"	"3/2"	4	4		"T7495"	""	
F	7	""	""	"374.27"	""	"1.40e+08"	A	"171.4525"	"174.7643"	"1s2.7p"	"2P*"	"1/2"	"1s2.8d"	"2D"	"3/2"	2	4		"T7495"	""	
F	7	""	""	"374.27"	""	"1.69e+08"	A	"171.4525"	"174.7643"	"1s2.7p"	"2P*"	"3/2"	"1s2.8d"	"2D"	"5/2"	4	6		"T7495"	""	
F	6	""	""	"376.71"	""	"3.0e+07"	B	"111.0013"	"114.2916"	"1s2.2p.3p"	"1P"	"1"	"1s2.2p.3d"	"1D*"	"2"	3	5		"T5633c91"	""	
F	5	""	""	"378.71"	""	"5.5e+06"	B	"105.0774"	"108.3503"	"2s.2p.(3P*).4d"	"2F*"	"5/2"	"2p2.(1D).3d"	"2D"	"3/2"	6	4		"T7192c91,LS"	""	
F	5	""	""	"378.71"	""	"2.6e+05"	B	"105.0774"	"108.3503"	"2s.2p.(3P*).4d"	"2F*"	"5/2"	"2p2.(1D).3d"	"2D"	"5/2"	6	6		"T7192c91,LS"	""	
F	5	""	""	"383.22"	""	"5.0e+06"	B	"105.1159"	"108.3503"	"2s.2p.(3P*).4d"	"2F*"	"7/2"	"2p2.(1D).3d"	"2D"	"5/2"	8	6		"T7192c91,LS"	""	
F	2	"384.709"	"0.010"	"384.7086"	"270"	"1.3e+08"	D	"21.882458"	"25.104353"	"2s2.2p3.(4S*).3s"	"5S*"	"2"	"2s2.2p3.(4S*).3p"	"5P"	"3"	5	7		"T1115CA,LS"	"L369"	
F	2	"384.999"	"0.010"	"384.9985"	"260"	"1.3e+08"	D	"21.882458"	"25.101926"	"2s2.2p3.(4S*).3s"	"5S*"	"2"	"2s2.2p3.(4S*).3p"	"5P"	"2"	5	5		"T1115CA,LS"	"L369"	
F	2	"385.167"	"0.010"	"385.1668"	"250"	"1.3e+08"	D	"21.882458"	"25.100520"	"2s2.2p3.(4S*).3s"	"5S*"	"2"	"2s2.2p3.(4S*).3p"	"5P"	"1"	5	3		"T1115CA,LS"	"L369"	
F	6	""	""	"385.69"	""	"7.37e+04"	A	"94.7725"	"97.9862"	"1s2.2s.3s"	"1S"	"0"	"1s2.2s.3p"	"3P*"	"1"	1	3		"u32"	""	
F	5	""	""	"385.71"	""	"2.7e+07"	B	"103.47214"	"106.68565"	"2p2.(3P).3p"	"4S*"	"3/2"	"2p2.(3P).3d"	"4P"	"1/2"	4	2		"T7192c91,LS"	""	
F	5	""	""	"387.09"	""	"2.6e+07"	B	"103.47214"	"106.67424"	"2p2.(3P).3p"	"4S*"	"3/2"	"2p2.(3P).3d"	"4P"	"3/2"	4	4		"T7192c91,LS"	""	
F	5	""	""	"388.51"	""	"2.9e+06"	B	"97.24859"	"100.43898"	"2p2.(3P).3s"	"4P"	"3/2"	"2s.2p.(3P*).4s"	"4P*"	"5/2"	4	6		"T7192c91,LS"	""	
F	7	""	""	"388.6"	""	"3.69e+08"	A	"171.5794"	"174.769"	"1s2.7f"	"2F*"	"7/2"	"1s2.8g"	"2G"	"9/2"	8	10		"T7495"	""	
F	7	""	""	"388.6"	""	"3.56e+08"	A	"171.5794"	"174.769"	"1s2.7f"	"2F*"	"5/2"	"1s2.8g"	"2G"	"7/2"	6	8		"T7495"	""	
F	7	""	""	"388.6"	""	"1.32e+07"	A	"171.5794"	"174.769"	"1s2.7f"	"2F*"	"7/2"	"1s2.8g"	"2G"	"7/2"	8	8		"T7495"	""	
F	7	""	""	"389.18"	""	"3.90e+07"	A	"171.5794"	"174.7643"	"1s2.7f"	"2F*"	"5/2"	"1s2.8d"	"2D"	"3/2"	6	4		"T7495"	""	
F	7	""	""	"389.18"	""	"1.85e+06"	A	"171.5794"	"174.7643"	"1s2.7f"	"2F*"	"5/2"	"1s2.8d"	"2D"	"5/2"	6	6		"T7495"	""	
F	7	""	""	"389.18"	""	"3.71e+07"	A	"171.5794"	"174.7643"	"1s2.7f"	"2F*"	"7/2"	"1s2.8d"	"2D"	"5/2"	8	6		"T7495"	""	
F	5	""	""	"390.23"	""	"2.6e+07"	B	"103.47214"	"106.64846"	"2p2.(3P).3p"	"4S*"	"3/2"	"2p2.(3P).3d"	"4P"	"5/2"	4	6		"T7192c91,LS"	""	
